variant,tail_gap,whole_gap,payload_bits,packetized_bits,events,coverage,slow_client_event_share,corr_curvature_event_count,event_count_cv
Global threshold,0.009121,0.322970,23539.650,103557.650,3923.2750,1.0,0.17327,0.99859,0.79300
Normalized threshold,0.006251,0.825533,10310.475,50976.475,1718.4125,1.0,0.20862,-0.35479,0.09236
