round,train_objective,train_ce,test_ce,test_accuracy,macro_accuracy,worst_class_accuracy,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,coordinate_events,messages,replay_rounds,checkpoint_rounds,round_coordinate_events,round_messages,round_uplink_packetized_bits,server_update_norm,aggregate_nonzeros,elapsed_seconds,config_name,method,partition_seed,train_seed,tag
1,3.1978935409144302,2.7733266845703124,2.764888580322266,0.1066,0.10660000145435333,0.0,56083200,11216640,112166720,0,10,0,1,0,10,56083200,1.5841774940490723,175258,0.5929563999998209,dense_g15,dense,4300,94300,heldout-r1800
15,2.590516970926295,2.168401354980469,2.173228582763672,0.1877,0.18770000338554382,0.004999999888241291,841248000,89733120,897336000,0,150,0,15,0,10,56083200,0.10630029439926147,175258,7.4761503000008815,dense_g15,dense,4300,94300,heldout-r1800
30,2.462276400918697,2.0423058349609375,2.0416780151367186,0.2152,0.21519999206066132,0.0,1682496000,173857920,1738588800,0,300,0,30,0,10,56083200,0.09775205701589584,175258,14.811868400000094,dense_g15,dense,4300,94300,heldout-r1800
45,2.366626444582478,1.9487247924804687,1.9513550903320311,0.3062,0.3061999976634979,0.003000000026077032,2523744000,257982720,2579841600,0,450,0,45,0,10,56083200,0.0978417918086052,175258,22.146486400000867,dense_g15,dense,4300,94300,heldout-r1800
60,2.3099977539314103,1.8941132934570313,1.8998620300292968,0.311,0.3109999895095825,0.032999999821186066,3364992000,342107520,3421094400,0,600,0,60,0,10,56083200,0.07976765185594559,175258,29.630401399997936,dense_g15,dense,4300,94300,heldout-r1800
75,2.265115211500926,1.8512275634765625,1.8589119873046875,0.329,0.32899999618530273,0.10700000077486038,4206240000,426232320,4262347200,0,750,0,75,0,10,56083200,0.11473046243190765,175258,36.95893079999951,dense_g15,dense,4300,94300,heldout-r1800
90,2.227550962123758,1.8156072387695312,1.8217167388916016,0.3604,0.3604000210762024,0.23999999463558197,5047488000,510357120,5103600000,0,900,0,90,0,10,56083200,0.0933789312839508,175258,44.28345949999857,dense_g15,dense,4300,94300,heldout-r1800
105,2.1818901530676404,1.7718295776367188,1.7754870178222657,0.3572,0.3571999967098236,0.03799999877810478,5888736000,594481920,5944852800,0,1050,0,105,0,10,56083200,0.09720580279827118,175258,51.62764249999964,dense_g15,dense,4300,94300,heldout-r1800
120,2.136315002618119,1.7280776611328126,1.735274203491211,0.3789,0.3788999915122986,0.012000000104308128,6729984000,678606720,6786105600,0,1200,0,120,0,10,56083200,0.09935189038515091,175258,59.18219449999742,dense_g15,dense,4300,94300,heldout-r1800
135,2.1086536970664747,1.702163818359375,1.7122047210693359,0.3863,0.3862999975681305,0.18199999630451202,7571232000,762731520,7627358400,0,1350,0,135,0,10,56083200,0.12206417322158813,175258,66.53499039999951,dense_g15,dense,4300,94300,heldout-r1800
