round,train_objective,train_ce,test_ce,test_accuracy,macro_accuracy,worst_class_accuracy,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,coordinate_events,messages,replay_rounds,checkpoint_rounds,round_coordinate_events,round_messages,round_uplink_packetized_bits,server_update_norm,aggregate_nonzeros,elapsed_seconds,config_name,method,partition_seed,train_seed,tag
1,3.793674126112979,3.3526043701171875,3.340793371582031,0.1,0.10000000149011612,0.0,2496157,8104477,81045090,131343,10,1,0,131343,10,2496157,8.47448444366455,34002,1.330381599953398,strom_t01,strom,5100,95100,heldout-r3000
15,2.798124780521169,2.2927595458984373,2.2920741333007815,0.1151,0.11510000377893448,0.0,6729767,12338087,123385670,353693,150,15,0,10268,10,195732,1.2349088191986084,5147,13.435438000014983,strom_t01,strom,5100,95100,heldout-r3000
30,2.907159827636369,2.311182849121094,2.306857061767578,0.1038,0.10379999876022339,0.0,8993280,14601600,146025600,472320,300,30,0,8607,10,164173,1.1405699253082275,4981,26.201443300000392,strom_t01,strom,5100,95100,heldout-r3000
45,3.066158740789164,2.3402022094726562,2.3364537536621093,0.166,0.16599999368190765,0.0,11328328,16936648,169380880,594712,450,45,0,9985,10,190355,1.3372732400894165,5846,38.9677525999723,strom_t01,strom,5100,95100,heldout-r3000
60,2.950316218505055,2.0409284301757813,2.0327966796875,0.2419,0.2418999969959259,0.0,13865232,19473552,194754720,727728,600,60,0,9422,10,179658,1.1378047466278076,5645,51.810811699950136,strom_t01,strom,5100,95100,heldout-r3000
75,3.2268518077749757,2.1113485717773437,2.1106105224609375,0.197,0.19700001180171967,0.0,16809154,22417474,224198740,882166,750,75,0,10472,10,199608,1.3393280506134033,6599,64.57985259999987,strom_t01,strom,5100,95100,heldout-r3000
90,3.431582640548609,2.1065140014648436,2.1011760986328123,0.2067,0.20669999718666077,0.0,19950011,25558331,255612110,1046969,900,90,0,11612,10,221268,1.3455853462219238,7216,77.428979099961,strom_t01,strom,5100,95100,heldout-r3000
105,3.4827040976637043,1.9589112670898436,1.9534808044433594,0.2735,0.273499995470047,0.0010000000474974513,23168673,28776993,287803530,1215867,1050,105,0,10695,10,203845,1.075778841972351,6971,90.2771254000254,strom_t01,strom,5100,95100,heldout-r3000
120,3.7592510676538575,2.039730749511719,2.024134051513672,0.2602,0.26020002365112305,0.0,26796386,32404706,324085460,1406294,1200,120,0,12124,10,230996,1.2616654634475708,8014,103.15713019995019,strom_t01,strom,5100,95100,heldout-r3000
135,3.9968835355814547,2.082838610839844,2.0668274963378908,0.1821,0.18209999799728394,0.0,30588012,36196332,362006520,1605348,1350,135,0,14750,10,280890,1.4110279083251953,9749,115.97446599998511,strom_t01,strom,5100,95100,heldout-r3000
150,4.094895835968107,1.9862945190429688,1.978552362060547,0.261,0.26100000739097595,0.0,34592799,40201119,402059190,1815621,1500,150,0,13158,10,250642,1.2677538394927979,9116,128.77799770003185,strom_t01,strom,5100,95100,heldout-r3000
165,4.209343643721007,1.9085128662109374,1.8948407196044923,0.3208,0.3208000361919403,0.0,38805370,44413690,444189700,2036830,1650,165,0,11773,10,224327,1.132298469543457,8189,141.69847189995926,strom_t01,strom,5100,95100,heldout-r3000
180,4.418325374022871,1.9287811157226562,1.926217822265625,0.2825,0.2824999988079071,0.003000000026077032,42955469,48563789,485695490,2254751,1800,180,0,15070,10,286970,1.3041472434997559,10392,154.58735109993722,strom_t01,strom,5100,95100,heldout-r3000
195,4.540804825625568,1.8507686279296875,1.8389822387695312,0.3294,0.32940003275871277,0.07599999755620956,47318254,52926574,529328140,2483866,1950,195,0,13808,10,262992,1.1913018226623535,9591,166.03505840001162,strom_t01,strom,5100,95100,heldout-r3000
