round,group,parameter_count,coordinate_events,active_clients,firing_fraction,mean_abs_pre_reset_evidence,config_name,partition_seed,train_seed
1,stem,464,331,10,0.07133620689655172,0.00463229191955179,event_t0125_q005,4300,94300
1,stage1.block1,4672,1533,10,0.0328125,0.002891399571672082,event_t0125_q005,4300,94300
1,stage1.block2,4672,969,10,0.02074058219178082,0.002282168495003134,event_t0125_q005,4300,94300
1,stage2.block1,14528,6126,10,0.04216685022026432,0.0026295591611415147,event_t0125_q005,4300,94300
1,stage2.block2,18560,8722,10,0.04699353448275862,0.003024573717266321,event_t0125_q005,4300,94300
1,stage3.block1,57728,29593,10,0.051262818736141906,0.0030381954973563554,event_t0125_q005,4300,94300
1,stage3.block2,73984,42025,10,0.05680282223183391,0.003262955509126186,event_t0125_q005,4300,94300
1,head,650,2047,10,0.3149230769230769,0.015921031963080166,event_t0125_q005,4300,94300
2,stem,464,41,10,0.008836206896551724,0.003801437490619719,event_t0125_q005,4300,94300
2,stage1.block1,4672,234,10,0.005008561643835617,0.0025260838214308024,event_t0125_q005,4300,94300
2,stage1.block2,4672,119,10,0.0025470890410958904,0.0020697736646980045,event_t0125_q005,4300,94300
2,stage2.block1,14528,824,10,0.005671806167400881,0.001981780957430601,event_t0125_q005,4300,94300
2,stage2.block2,18560,829,10,0.004466594827586207,0.0022644590586423873,event_t0125_q005,4300,94300
2,stage3.block1,57728,3795,10,0.006573932926829268,0.002204240346327424,event_t0125_q005,4300,94300
2,stage3.block2,73984,5929,10,0.00801389489619377,0.0023549993522465227,event_t0125_q005,4300,94300
2,head,650,1905,10,0.29307692307692307,0.011737632472068072,event_t0125_q005,4300,94300
3,stem,464,25,8,0.005387931034482759,0.0038577589439228177,event_t0125_q005,4300,94300
3,stage1.block1,4672,117,10,0.0025042808219178083,0.0025194130139425397,event_t0125_q005,4300,94300
3,stage1.block2,4672,56,9,0.0011986301369863014,0.0020947949960827827,event_t0125_q005,4300,94300
3,stage2.block1,14528,472,10,0.003248898678414097,0.001972585136536509,event_t0125_q005,4300,94300
3,stage2.block2,18560,475,10,0.0025592672413793103,0.002258954267017543,event_t0125_q005,4300,94300
3,stage3.block1,57728,3046,10,0.005276468957871397,0.0022451807744801044,event_t0125_q005,4300,94300
3,stage3.block2,73984,5269,10,0.007121810121107267,0.0024107588455080987,event_t0125_q005,4300,94300
3,head,650,1429,10,0.21984615384615386,0.009590907022356987,event_t0125_q005,4300,94300
4,stem,464,23,8,0.004956896551724138,0.004007920040749013,event_t0125_q005,4300,94300
4,stage1.block1,4672,152,10,0.0032534246575342467,0.0025881163543090223,event_t0125_q005,4300,94300
4,stage1.block2,4672,118,10,0.0025256849315068493,0.002186232025269419,event_t0125_q005,4300,94300
4,stage2.block1,14528,577,10,0.003971640969162996,0.002027980890125036,event_t0125_q005,4300,94300
4,stage2.block2,18560,445,10,0.0023976293103448276,0.0023063811007887126,event_t0125_q005,4300,94300
4,stage3.block1,57728,4157,10,0.007201011640798226,0.0023474707501009106,event_t0125_q005,4300,94300
4,stage3.block2,73984,7535,10,0.010184634515570935,0.0025172162801027297,event_t0125_q005,4300,94300
4,head,650,1793,10,0.27584615384615385,0.011397774331271648,event_t0125_q005,4300,94300
5,stem,464,21,9,0.004525862068965518,0.004044552054256201,event_t0125_q005,4300,94300
5,stage1.block1,4672,124,10,0.002654109589041096,0.002614210615865886,event_t0125_q005,4300,94300
5,stage1.block2,4672,118,10,0.0025256849315068493,0.002230734471231699,event_t0125_q005,4300,94300
5,stage2.block1,14528,630,10,0.004336453744493392,0.0020826728432439268,event_t0125_q005,4300,94300
5,stage2.block2,18560,639,10,0.003442887931034483,0.0023750206688418984,event_t0125_q005,4300,94300
5,stage3.block1,57728,5041,10,0.008732330931263858,0.0024493879405781626,event_t0125_q005,4300,94300
5,stage3.block2,73984,8397,10,0.011349751297577855,0.00259478825610131,event_t0125_q005,4300,94300
5,head,650,1884,10,0.28984615384615386,0.01223684842698276,event_t0125_q005,4300,94300
6,stem,464,25,7,0.005387931034482759,0.004210820747539401,event_t0125_q005,4300,94300
6,stage1.block1,4672,186,10,0.003981164383561644,0.0026815404184162618,event_t0125_q005,4300,94300
6,stage1.block2,4672,154,9,0.0032962328767123287,0.002325977082364261,event_t0125_q005,4300,94300
6,stage2.block1,14528,771,10,0.005306993392070485,0.002148715255316347,event_t0125_q005,4300,94300
6,stage2.block2,18560,732,10,0.00394396551724138,0.0024412444094195963,event_t0125_q005,4300,94300
6,stage3.block1,57728,5405,10,0.009362874168514413,0.002528094919398427,event_t0125_q005,4300,94300
6,stage3.block2,73984,8912,10,0.012045847750865053,0.0026570896850898864,event_t0125_q005,4300,94300
6,head,650,1874,10,0.2883076923076923,0.012322723865509033,event_t0125_q005,4300,94300
7,stem,464,21,9,0.004525862068965518,0.004209257243201136,event_t0125_q005,4300,94300
7,stage1.block1,4672,168,10,0.003595890410958904,0.0026925218291580675,event_t0125_q005,4300,94300
7,stage1.block2,4672,172,9,0.0036815068493150685,0.002379163750447333,event_t0125_q005,4300,94300
7,stage2.block1,14528,938,10,0.006456497797356828,0.0022086984594352544,event_t0125_q005,4300,94300
7,stage2.block2,18560,874,10,0.004709051724137931,0.002502256981097162,event_t0125_q005,4300,94300
7,stage3.block1,57728,6560,10,0.011363636363636364,0.0026233995100483297,event_t0125_q005,4300,94300
7,stage3.block2,73984,10239,10,0.013839478806228375,0.0027254019398242233,event_t0125_q005,4300,94300
7,head,650,1618,10,0.2489230769230769,0.01176516362465918,event_t0125_q005,4300,94300
8,stem,464,39,10,0.008405172413793103,0.004313921672292054,event_t0125_q005,4300,94300
8,stage1.block1,4672,200,10,0.004280821917808219,0.002726118639111519,event_t0125_q005,4300,94300
8,stage1.block2,4672,133,10,0.0028467465753424658,0.002421013941057026,event_t0125_q005,4300,94300
8,stage2.block1,14528,1053,10,0.00724807268722467,0.0022631257772445677,event_t0125_q005,4300,94300
8,stage2.block2,18560,1066,10,0.005743534482758621,0.002563751768320799,event_t0125_q005,4300,94300
8,stage3.block1,57728,6906,10,0.01196299889135255,0.0026870950823649764,event_t0125_q005,4300,94300
8,stage3.block2,73984,10693,10,0.014453125,0.0027727904263883827,event_t0125_q005,4300,94300
8,head,650,2045,10,0.31461538461538463,0.013207626715302467,event_t0125_q005,4300,94300
9,stem,464,36,10,0.007758620689655172,0.004328078241087496,event_t0125_q005,4300,94300
9,stage1.block1,4672,189,10,0.004045376712328767,0.002764278277754784,event_t0125_q005,4300,94300
9,stage1.block2,4672,183,10,0.003916952054794521,0.002512740972451866,event_t0125_q005,4300,94300
9,stage2.block1,14528,1163,10,0.00800523127753304,0.0023125183535739778,event_t0125_q005,4300,94300
9,stage2.block2,18560,1251,10,0.006740301724137931,0.0026193356374278665,event_t0125_q005,4300,94300
9,stage3.block1,57728,7263,10,0.012581416297117516,0.0027497265953570606,event_t0125_q005,4300,94300
9,stage3.block2,73984,10647,10,0.014390949394463668,0.002809111960232258,event_t0125_q005,4300,94300
9,head,650,1689,10,0.25984615384615384,0.011896753823384643,event_t0125_q005,4300,94300
10,stem,464,40,10,0.008620689655172414,0.004453058913350105,event_t0125_q005,4300,94300
10,stage1.block1,4672,172,10,0.0036815068493150685,0.002801472879946232,event_t0125_q005,4300,94300
10,stage1.block2,4672,216,10,0.004623287671232877,0.0025581546826288102,event_t0125_q005,4300,94300
10,stage2.block1,14528,1338,10,0.009209801762114538,0.002366159181110561,event_t0125_q005,4300,94300
10,stage2.block2,18560,1388,10,0.007478448275862069,0.00266224869992584,event_t0125_q005,4300,94300
10,stage3.block1,57728,7170,10,0.012420315964523282,0.0027949697105214,event_t0125_q005,4300,94300
10,stage3.block2,73984,10507,10,0.014201719290657439,0.002842696872539818,event_t0125_q005,4300,94300
10,head,650,1790,10,0.2753846153846154,0.012133264262229205,event_t0125_q005,4300,94300
11,stem,464,30,9,0.00646551724137931,0.004509158269502223,event_t0125_q005,4300,94300
11,stage1.block1,4672,191,10,0.004088184931506849,0.002846436807885766,event_t0125_q005,4300,94300
11,stage1.block2,4672,286,10,0.006121575342465753,0.002649389859288931,event_t0125_q005,4300,94300
11,stage2.block1,14528,1331,10,0.009161618942731278,0.002399498363956809,event_t0125_q005,4300,94300
11,stage2.block2,18560,1428,10,0.00769396551724138,0.002700662496499717,event_t0125_q005,4300,94300
11,stage3.block1,57728,8475,10,0.014680917405764967,0.002880594623275101,event_t0125_q005,4300,94300
11,stage3.block2,73984,11914,10,0.016103481833910034,0.0028991903411224483,event_t0125_q005,4300,94300
11,head,650,2165,10,0.3330769230769231,0.014001162350177765,event_t0125_q005,4300,94300
12,stem,464,61,10,0.013146551724137931,0.0047002496663481,event_t0125_q005,4300,94300
12,stage1.block1,4672,195,10,0.004173801369863014,0.0029112070333212614,event_t0125_q005,4300,94300
12,stage1.block2,4672,283,10,0.00605736301369863,0.0027241640258580447,event_t0125_q005,4300,94300
12,stage2.block1,14528,1417,10,0.009753579295154186,0.0024512278381735087,event_t0125_q005,4300,94300
12,stage2.block2,18560,1361,10,0.0073329741379310346,0.002737851161509752,event_t0125_q005,4300,94300
12,stage3.block1,57728,8122,10,0.014069429046563192,0.0029127339599654078,event_t0125_q005,4300,94300
12,stage3.block2,73984,11861,10,0.01603184472318339,0.002930432488210499,event_t0125_q005,4300,94300
12,head,650,1905,10,0.29307692307692307,0.013386136014014482,event_t0125_q005,4300,94300
13,stem,464,55,10,0.011853448275862068,0.00470274374820292,event_t0125_q005,4300,94300
13,stage1.block1,4672,223,10,0.004773116438356165,0.0029315640218555926,event_t0125_q005,4300,94300
13,stage1.block2,4672,292,10,0.00625,0.002791386004537344,event_t0125_q005,4300,94300
13,stage2.block1,14528,1390,10,0.00956773127753304,0.0024813759606331586,event_t0125_q005,4300,94300
13,stage2.block2,18560,1346,10,0.007252155172413793,0.0027716047363355754,event_t0125_q005,4300,94300
13,stage3.block1,57728,8203,10,0.01420974223946785,0.0029595947824418547,event_t0125_q005,4300,94300
13,stage3.block2,73984,12035,10,0.016267030709342562,0.002964495914056897,event_t0125_q005,4300,94300
13,head,650,1706,10,0.26246153846153847,0.012467363197356463,event_t0125_q005,4300,94300
14,stem,464,59,10,0.01271551724137931,0.0048000218346714975,event_t0125_q005,4300,94300
14,stage1.block1,4672,290,10,0.0062071917808219175,0.0029880328569561244,event_t0125_q005,4300,94300
14,stage1.block2,4672,327,10,0.006999143835616438,0.0028634290676563976,event_t0125_q005,4300,94300
14,stage2.block1,14528,1373,10,0.009450715859030836,0.002526915865018964,event_t0125_q005,4300,94300
14,stage2.block2,18560,1447,10,0.007796336206896552,0.002810386475175619,event_t0125_q005,4300,94300
14,stage3.block1,57728,8156,10,0.014128325942350332,0.0029980598250404,event_t0125_q005,4300,94300
14,stage3.block2,73984,11296,10,0.015268166089965398,0.002983756992034614,event_t0125_q005,4300,94300
14,head,650,1795,10,0.27615384615384614,0.012621904257684946,event_t0125_q005,4300,94300
15,stem,464,69,8,0.014870689655172414,0.004840453900396824,event_t0125_q005,4300,94300
15,stage1.block1,4672,257,10,0.005500856164383562,0.0030059294309467076,event_t0125_q005,4300,94300
15,stage1.block2,4672,329,10,0.00704195205479452,0.002939464244991541,event_t0125_q005,4300,94300
15,stage2.block1,14528,1331,10,0.009161618942731278,0.002557121543213725,event_t0125_q005,4300,94300
15,stage2.block2,18560,1318,10,0.007101293103448276,0.0028349206084385516,event_t0125_q005,4300,94300
15,stage3.block1,57728,7744,10,0.013414634146341463,0.003028389741666615,event_t0125_q005,4300,94300
15,stage3.block2,73984,10856,10,0.014673442906574394,0.003004110651090741,event_t0125_q005,4300,94300
15,head,650,1968,10,0.3027692307692308,0.012655355222523212,event_t0125_q005,4300,94300
16,stem,464,98,10,0.021120689655172414,0.004921799851581454,event_t0125_q005,4300,94300
