round,train_objective,train_ce,test_ce,test_accuracy,macro_accuracy,worst_class_accuracy,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,coordinate_events,messages,replay_rounds,checkpoint_rounds,round_coordinate_events,round_messages,round_uplink_packetized_bits,server_update_norm,aggregate_nonzeros,elapsed_seconds,config_name,method,partition_seed,train_seed,tag
1,3.052715956574277,2.6282632080078123,2.6174774780273435,0.0998,0.0998000055551529,0.0,2191140,7799460,77994920,0,10,1,0,0,10,2191140,0.6655398607254028,14201,0.6049588999994739,ef_k025,ef_topk,4400,94400,heldout-r1800
15,2.6678469645276413,2.2442687255859375,2.2481380126953123,0.1833,0.18330000340938568,0.0,32867100,38475420,384759000,0,150,15,0,0,10,2191140,0.12102930247783661,29206,7.583335399998759,ef_k025,ef_topk,4400,94400,heldout-r1800
30,2.5328721214003145,2.110104406738281,2.107195098876953,0.2467,0.2467000037431717,0.008999999612569809,65734200,71342520,713434800,0,300,30,0,0,10,2191140,0.13979780673980713,31129,15.01146399999925,ef_k025,ef_topk,4400,94400,heldout-r1800
45,2.438523175979797,2.0167252197265624,2.015472869873047,0.2745,0.2744999825954437,0.008999999612569809,98601300,104209620,1042110600,0,450,45,0,0,10,2191140,0.14967785775661469,32845,22.443491899997753,ef_k025,ef_topk,4400,94400,heldout-r1800
60,2.381170575408386,1.9604686401367188,1.9601276733398438,0.2862,0.28620001673698425,0.014000000432133675,131468400,137076720,1370786400,0,600,60,0,0,10,2191140,0.15836843848228455,34085,30.04311460000099,ef_k025,ef_topk,4400,94400,heldout-r1800
75,2.3444368945891125,1.9248777099609375,1.9283265625,0.3052,0.3052000105381012,0.03400000184774399,164335500,169943820,1699462200,0,750,75,0,0,10,2191140,0.16333356499671936,34224,37.47827999999936,ef_k025,ef_topk,4400,94400,heldout-r1800
90,2.3011512447021727,1.8826980346679687,1.8876405334472657,0.3081,0.30809998512268066,0.041999999433755875,197202600,202810920,2028138000,0,900,90,0,0,10,2191140,0.16627910733222961,34446,44.89446499999758,ef_k025,ef_topk,4400,94400,heldout-r1800
105,2.270927011560963,1.8536661010742188,1.862069708251953,0.3227,0.32269999384880066,0.1379999965429306,230069700,235678020,2356813800,0,1050,105,0,0,10,2191140,0.1717403531074524,35007,52.314198100000795,ef_k025,ef_topk,4400,94400,heldout-r1800
120,2.241818581380823,1.8257725830078124,1.835510186767578,0.3418,0.3418000042438507,0.07599999755620956,262936800,268545120,2685489600,0,1200,120,0,0,10,2191140,0.17526528239250183,34997,59.95583129999795,ef_k025,ef_topk,4400,94400,heldout-r1800
135,2.2143727070430703,1.7994348999023437,1.812401171875,0.3519,0.35190001130104065,0.07999999821186066,295803900,301412220,3014165400,0,1350,135,0,0,10,2191140,0.18593189120292664,35184,67.41498750000028,ef_k025,ef_topk,4400,94400,heldout-r1800
150,2.1826168076190604,1.7688728881835938,1.7818926055908204,0.3663,0.3663000166416168,0.07500000298023224,328671000,334279320,3342841200,0,1500,150,0,0,10,2191140,0.18844516575336456,36074,74.84236709999823,ef_k025,ef_topk,4400,94400,heldout-r1800
165,2.154171811651249,1.7416640014648437,1.7561745300292968,0.3782,0.3781999945640564,0.14100000262260437,361538100,367146420,3671517000,0,1650,165,0,0,10,2191140,0.1898455172777176,35833,82.29473959999814,ef_k025,ef_topk,4400,94400,heldout-r1800
180,2.125360641426424,1.7140319091796874,1.7295300506591798,0.3862,0.3862000107765198,0.125,394405200,400013520,4000192800,0,1800,180,0,0,10,2191140,0.18926988542079926,35782,89.9158811999987,ef_k025,ef_topk,4400,94400,heldout-r1800
195,2.106520914922626,1.6963684814453126,1.7122306030273438,0.3933,0.39330002665519714,0.17299999296665192,427272300,432880620,4328868600,0,1950,195,0,0,10,2191140,0.19039225578308105,36231,97.34828389999893,ef_k025,ef_topk,4400,94400,heldout-r1800
210,2.0906953006322553,1.6817900512695312,1.6968901580810547,0.3936,0.3935999870300293,0.1809999942779541,460139400,465747720,4657544400,0,2100,210,0,0,10,2191140,0.1880801022052765,36080,104.79760610000085,ef_k025,ef_topk,4400,94400,heldout-r1800
225,2.0680091942882166,1.660237841796875,1.6755140106201172,0.4122,0.4121999740600586,0.1679999977350235,493006500,498614820,4986220200,0,2250,225,0,0,10,2191140,0.18948517739772797,35541,112.27808250000089,ef_k025,ef_topk,4400,94400,heldout-r1800
240,2.0501593184557976,1.64353876953125,1.6591240051269531,0.4177,0.41770002245903015,0.18000000715255737,525873600,531481920,5314896000,0,2400,240,0,0,10,2191140,0.1893499195575714,35776,119.91385480000099,ef_k025,ef_topk,4400,94400,heldout-r1800
255,2.0382670455159735,1.6328212036132812,1.6493594696044922,0.4183,0.41829997301101685,0.1469999998807907,558740700,564349020,5643571800,0,2550,255,0,0,10,2191140,0.1907169669866562,36294,127.35113849999834,ef_k025,ef_topk,4400,94400,heldout-r1800
270,2.01061154197508,1.60629970703125,1.6246642211914062,0.4265,0.42649999260902405,0.23600000143051147,591607800,597216120,5972247600,0,2700,270,0,0,10,2191140,0.19415117800235748,36196,134.78562129999773,ef_k025,ef_topk,4400,94400,heldout-r1800
