method,config_name,final_train_ce_mean,final_train_ce_std,final_test_ce_mean,final_test_ce_std,final_test_accuracy_mean,final_test_accuracy_std,final_worst_class_accuracy_mean,final_worst_class_accuracy_std,unicast_hybrid_total_bits_mean,unicast_hybrid_total_bits_std,elapsed_seconds_mean,elapsed_seconds_std,completed_seeds
dense,dense_g15,0.46539108703613274,0.024643454833975627,0.7579538050842285,0.01753052550924169,0.7421300000000001,0.007354824569250048,0.5167000025510788,0.05481696828760471,336556243200.0,0.0,2515.1802692399824,15.243776274667024,10
ef_topk,ef_k025,0.6365380184597439,0.015285540257039855,0.7831923909505208,0.01271629505498228,0.7276888888888888,0.005054563394706915,0.5113333430555131,0.03511409740721227,72364663200.0,0.0,2573.0039870555306,4.242089246761995,9
event,event_t0125_q005,0.19382612464904783,0.04543180050417421,0.8319922695922852,0.035486422267309414,0.75141,0.008955625172048147,0.5610000014305114,0.035867037516792086,38656395700.5,361497858.189498,2677.721605330007,8.54462901299008,10
sign_ef,sign_ef,0.6779608782958985,0.013969120540876664,0.8249636100769043,0.009286148994898056,0.71156,0.0026039286557899997,0.4838000059127808,0.03747532372145933,57923863200.0,0.0,2529.424806899973,8.033448926615451,10
strom,strom_t01,1.5107116705322265,0.2744932137273914,1.554537935180664,0.2754966139298331,0.49088000000000004,0.06224753096397567,0.09179999999469143,0.09692012768517451,15953875660.3,793134763.8993984,2497.9550413300167,282.52559610803837,10
