round,train_objective,train_ce,test_ce,test_accuracy,macro_accuracy,worst_class_accuracy,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,coordinate_events,messages,replay_rounds,checkpoint_rounds,round_coordinate_events,round_messages,round_uplink_packetized_bits,server_update_norm,aggregate_nonzeros,elapsed_seconds,config_name,method,partition_seed,train_seed,tag
1,3.2742869343203322,2.847476220703125,2.857253552246094,0.0999,0.09989999979734421,0.0,1670531,7278851,72788830,87889,10,1,0,87889,10,1670531,3.400322437286377,24810,0.6133945000037784,event_t0125_q005,event,4900,94900,heldout-r1800
15,2.7850396160297795,2.3584724853515624,2.3681654052734373,0.1016,0.10160000622272491,0.0,6742288,12350608,123510880,354352,150,15,0,22316,10,424644,0.7916324138641357,13321,7.770028400002047,event_t0125_q005,event,4900,94900,heldout-r1800
30,2.7491937345009063,2.3228009033203123,2.3221228271484375,0.1688,0.1687999963760376,0.0,13505970,19114290,191152500,709830,300,30,0,23589,10,448831,0.8272045254707336,15675,15.433364600001369,event_t0125_q005,event,4900,94900,heldout-r1800
45,2.5438445706190307,2.1180857299804687,2.134594317626953,0.1576,0.15760000050067902,0.0,20627004,26235324,262367640,1084116,450,45,0,26485,10,503855,0.7623249292373657,17098,23.076642200001515,event_t0125_q005,event,4900,94900,heldout-r1800
60,2.620724254061887,2.195241650390625,2.196536853027344,0.1985,0.19849999248981476,0.0,28614324,34222644,342245640,1503996,600,60,0,30451,10,579209,0.8912379145622253,20897,30.733254799997667,event_t0125_q005,event,4900,94900,heldout-r1800
75,2.529252244095085,2.1024356079101563,2.1336968872070314,0.1769,0.1768999993801117,0.0,37117684,42726004,427284040,1951036,750,75,0,30079,10,572141,0.7997338771820068,21146,38.4070212000006,event_t0125_q005,event,4900,94900,heldout-r1800
90,2.5023115603025072,2.0740897216796874,2.0784094482421875,0.2522,0.25220000743865967,0.010999999940395355,46103302,51711622,517145020,2423458,900,90,0,32810,10,624030,0.8274421691894531,23173,46.062057000002824,event_t0125_q005,event,4900,94900,heldout-r1800
105,2.321583552955277,1.8912594360351562,1.9056736633300781,0.2911,0.29109999537467957,0.00800000037997961,55801135,61409455,614128150,2933365,1050,105,0,32450,10,617190,0.7681904435157776,23054,53.70945449999999,event_t0125_q005,event,4900,94900,heldout-r1800
120,2.3858981443727623,1.9522128540039063,1.98329541015625,0.2498,0.24979999661445618,0.0,66309413,71917733,719215730,3485927,1200,120,0,35133,10,668167,0.798957884311676,25538,61.354297300000326,event_t0125_q005,event,4900,94900,heldout-r1800
135,2.3962364679433406,1.9590101196289063,1.9641105407714843,0.2782,0.2782000005245209,0.0,77349805,82958125,829624450,4066495,1350,135,0,41334,10,785986,0.8516315221786499,29112,69.01687540000421,event_t0125_q005,event,4900,94900,heldout-r1800
