round,train_objective,train_ce,test_ce,test_accuracy,macro_accuracy,worst_class_accuracy,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,coordinate_events,messages,replay_rounds,checkpoint_rounds,round_coordinate_events,round_messages,round_uplink_packetized_bits,server_update_norm,aggregate_nonzeros,elapsed_seconds,config_name,method,partition_seed,train_seed,tag
1,4.182583988425956,3.7420642333984375,3.7018305053710936,0.0982,0.0982000008225441,0.0,2357761,7966081,79661130,124059,10,1,0,124059,10,2357761,8.328078269958496,31515,1.3728064000606537,strom_t01,strom,4400,94400,heldout-r3000
15,2.8142247619691303,2.31133369140625,2.31666669921875,0.1001,0.10010000318288803,0.0,6136967,11745287,117457670,322493,150,15,0,8326,10,158834,1.1903780698776245,4330,13.561636500060558,strom_t01,strom,4400,94400,heldout-r3000
30,2.897997898355173,2.295753894042969,2.2926481201171875,0.1113,0.11130000650882721,0.0,8213995,13822315,138232750,431305,300,30,0,7703,10,146997,1.097041368484497,4331,26.474148700013757,strom_t01,strom,4400,94400,heldout-r3000
45,3.0254640377078204,2.2679875366210935,2.2623850830078127,0.1394,0.13940000534057617,0.0,10553451,16161771,161632110,553929,450,45,0,8468,10,161532,1.1932308673858643,5046,39.47220740001649,strom_t01,strom,4400,94400,heldout-r3000
60,3.134066761125531,2.1631572998046873,2.1590327392578126,0.1877,0.18770000338554382,0.0,13320806,18929126,189310460,699074,600,60,0,10645,10,202895,1.2680299282073975,6306,52.443304499960504,strom_t01,strom,4400,94400,heldout-r3000
75,3.29414787604101,2.0603273315429687,2.06374765625,0.2072,0.20720000565052032,0.0,16224733,21833053,218354530,851407,750,75,0,10848,10,206752,1.2284135818481445,6639,65.42247960006353,strom_t01,strom,4400,94400,heldout-r3000
90,3.596813005046174,2.0592927978515627,2.063402655029297,0.2128,0.2128000110387802,0.0,19457360,25065680,250685600,1021040,900,90,0,11524,10,219596,1.3127832412719727,7330,78.36761169997044,strom_t01,strom,4400,94400,heldout-r3000
105,3.9004302392818033,2.0335388916015624,2.035474951171875,0.2079,0.2079000025987625,0.0,22786640,28394960,283983200,1195760,1050,105,0,12345,10,235195,1.2947971820831299,7876,91.30443400004879,strom_t01,strom,4400,94400,heldout-r3000
120,4.205660665691085,1.98827900390625,1.988133984375,0.2481,0.24809999763965607,0.0,26179893,31788213,317920530,1373847,1200,120,0,11700,10,222940,1.3246885538101196,7685,104.18258000002243,strom_t01,strom,4400,94400,heldout-r3000
135,4.5124763020318,1.9398915649414064,1.9448984558105469,0.2698,0.26980000734329224,0.0,29758510,35366830,353711500,1561690,1350,135,0,13946,10,265614,1.2992305755615234,8937,117.08831070002634,strom_t01,strom,4400,94400,heldout-r3000
150,4.918330529814773,2.00507978515625,2.0082916320800783,0.2601,0.26009997725486755,0.0,33649734,39258054,392628540,1765986,1500,150,0,9115,10,173825,1.1042191982269287,6146,130.0363222999731,strom_t01,strom,4400,94400,heldout-r3000
165,5.179076955635846,1.933150439453125,1.9439276733398438,0.2849,0.2849000096321106,0.0010000000474974513,37532503,43140823,431461030,1969837,1650,165,0,13458,10,256342,1.2908910512924194,9147,143.1301364999963,strom_t01,strom,4400,94400,heldout-r3000
180,5.550581114431471,1.9885849365234376,2.0027669860839845,0.2665,0.26649999618530273,0.0,41785373,47393693,473994530,2193167,1800,180,0,14189,10,270231,1.325330138206482,9879,156.00180790002923,strom_t01,strom,4400,94400,heldout-r3000
195,5.700972663003579,1.8281971801757813,1.8334774963378906,0.339,0.33899998664855957,0.017999999225139618,46197330,51805650,518118900,2424870,1950,195,0,13161,10,250699,1.2723599672317505,9395,168.97303470002953,strom_t01,strom,4400,94400,heldout-r3000
210,6.0592134175434715,1.8656253295898437,1.8720814575195313,0.3063,0.30630001425743103,0.0010000000474974513,50684318,56292638,562993580,2660522,2100,210,0,15877,10,302303,1.3657598495483398,10956,182.00507980003022,strom_t01,strom,4400,94400,heldout-r3000
225,6.278272163543851,1.7698517456054688,1.7761498291015625,0.355,0.35499998927116394,0.15199999511241913,55399230,61007550,610147500,2908170,2250,225,0,15112,10,287768,1.2549103498458862,10156,194.97989509999752,strom_t01,strom,4400,94400,heldout-r3000
240,6.626139045001566,1.8024440673828126,1.8107002349853516,0.3302,0.3302000164985657,0.009999999776482582,60173289,65781609,657892890,3158931,2400,240,0,16115,10,306825,1.4226382970809937,11490,208.0332519999938,strom_t01,strom,4400,94400,heldout-r3000
255,6.880431591442973,1.7356607177734376,1.7439850189208985,0.364,0.36399999260902405,0.054999999701976776,65068644,70676964,706851240,3416076,2550,255,0,15978,10,304222,1.3121737241744995,11249,220.96262220002245,strom_t01,strom,4400,94400,heldout-r3000
270,7.25542245888114,1.7915080322265624,1.7977120361328125,0.3322,0.3322000205516815,0.04800000041723251,70403545,76011865,760205050,3696355,2700,270,0,14693,10,279807,1.3592276573181152,10627,233.89355420006905,strom_t01,strom,4400,94400,heldout-r3000
285,7.55105109333247,1.77343017578125,1.7918683074951172,0.3281,0.3281000256538391,0.09300000220537186,75523860,81132180,811413000,3965340,2850,285,0,11675,10,222465,1.1465164422988892,8165,246.8919471000554,strom_t01,strom,4400,94400,heldout-r3000
300,8.009855096392334,1.9166249389648438,1.9330532592773437,0.291,0.29099997878074646,0.0010000000474974513,80353513,85961833,859714330,4219027,3000,300,0,20344,10,387176,1.6967614889144897,13939,259.85320919996593,strom_t01,strom,4400,94400,heldout-r3000
315,8.999532136648893,2.5886678466796873,2.6103640502929686,0.2252,0.22519998252391815,0.0,85690675,91298995,913090750,4499425,3150,315,0,24055,10,457685,2.0794951915740967,16023,272.754644599976,strom_t01,strom,4400,94400,heldout-r3000
