round,train_objective,train_ce,test_ce,test_accuracy,macro_accuracy,worst_class_accuracy,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,coordinate_events,messages,replay_rounds,checkpoint_rounds,round_coordinate_events,round_messages,round_uplink_packetized_bits,server_update_norm,aggregate_nonzeros,elapsed_seconds,config_name,method,partition_seed,train_seed,tag
1,2.8815323084996916,2.4575505004882814,2.460397265625,0.0999,0.09989999979734421,0.0,1753540,7361860,73618920,0,10,1,0,0,10,1753540,0.47579509019851685,175258,0.5864213000022573,sign_ef,sign_ef,4600,94600,heldout-r1800
15,2.6552635105266194,2.2322337524414064,2.2342545471191406,0.2067,0.20669999718666077,0.010999999940395355,26303100,31911420,319119000,0,150,15,0,0,10,1753540,0.22428598999977112,175258,7.461326000004192,sign_ef,sign_ef,4600,94600,heldout-r1800
30,2.537171364941266,2.1150646850585937,2.118284197998047,0.2302,0.23020000755786896,0.0010000000474974513,52606200,58214520,582154800,0,300,30,0,0,10,1753540,0.2745732069015503,175258,14.812616499999422,sign_ef,sign_ef,4600,94600,heldout-r1800
45,2.454747012328166,2.034054541015625,2.035667041015625,0.2683,0.26830002665519714,0.03200000151991844,78909300,84517620,845190600,0,450,45,0,0,10,1753540,0.2962673306465149,175258,22.283278400005656,sign_ef,sign_ef,4600,94600,heldout-r1800
60,2.4069491866462513,1.98716484375,1.9857686462402344,0.2797,0.27970001101493835,0.0430000014603138,105212400,110820720,1108226400,0,600,60,0,0,10,1753540,0.30026504397392273,175258,29.655411800005822,sign_ef,sign_ef,4600,94600,heldout-r1800
75,2.3488367980528477,1.9302463134765624,1.9283484924316405,0.2935,0.29350000619888306,0.007000000216066837,131515500,137123820,1371262200,0,750,75,0,0,10,1753540,0.3050685524940491,175258,37.01788260000467,sign_ef,sign_ef,4600,94600,heldout-r1800
90,2.3119229884682513,1.8942187133789063,1.890073077392578,0.3164,0.31640002131462097,0.08100000023841858,157818600,163426920,1634298000,0,900,90,0,0,10,1753540,0.30793967843055725,175258,44.372469800000545,sign_ef,sign_ef,4600,94600,heldout-r1800
105,2.2813064279444313,1.8645959716796876,1.8597376220703126,0.331,0.3310000002384186,0.12600000202655792,184121700,189730020,1897333800,0,1050,105,0,0,10,1753540,0.31984955072402954,175258,51.83359150000615,sign_ef,sign_ef,4600,94600,heldout-r1800
120,2.247583119594818,1.831669775390625,1.8263860473632811,0.3464,0.3463999927043915,0.061000000685453415,210424800,216033120,2160369600,0,1200,120,0,0,10,1753540,0.32796594500541687,175258,59.15973510000185,sign_ef,sign_ef,4600,94600,heldout-r1800
135,2.2147144163234564,1.7996263061523436,1.7932032989501954,0.3627,0.3627000153064728,0.13899999856948853,236727900,242336220,2423405400,0,1350,135,0,0,10,1753540,0.33768215775489807,175258,66.50518220000231,sign_ef,sign_ef,4600,94600,heldout-r1800
