round,train_objective,train_ce,test_ce,test_accuracy,macro_accuracy,worst_class_accuracy,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,coordinate_events,messages,replay_rounds,checkpoint_rounds,round_coordinate_events,round_messages,round_uplink_packetized_bits,server_update_norm,aggregate_nonzeros,elapsed_seconds,config_name,method,partition_seed,train_seed,tag
1,3.1671926564340227,2.740229541015625,2.7519915222167968,0.0928,0.09280000627040863,0.0,1746151,7354471,73545030,91869,10,1,0,91869,10,1746151,3.4806368350982666,25491,1.4219807999907061,event_t0125_q005,event,4600,94600,heldout-r3000
15,2.819096554343973,2.392491735839844,2.3970461608886717,0.1123,0.11230000108480453,0.0,6780592,12388912,123893920,356368,150,15,0,23564,10,448356,0.8531317710876465,14020,13.868375700083561,event_t0125_q005,event,4600,94600,heldout-r3000
30,2.7638519663912824,2.3374280639648437,2.3346063354492186,0.1083,0.10829999297857285,0.0,13807595,19415915,194168750,725705,300,30,0,25844,10,491676,0.8525212407112122,16464,27.154039400047623,event_t0125_q005,event,4600,94600,heldout-r3000
45,2.53168750024942,2.1055260620117187,2.1104474304199217,0.204,0.20399999618530273,0.0,20863934,26472254,264736940,1096586,450,45,0,25443,10,484057,0.7680762410163879,17412,40.50321170000825,event_t0125_q005,event,4600,94600,heldout-r3000
60,2.6028099965943956,2.1771919677734375,2.190069287109375,0.2095,0.2094999998807907,0.0,28619872,34228192,342301120,1504288,600,60,0,29304,10,557416,0.8399903774261475,20393,53.77246540004853,event_t0125_q005,event,4600,94600,heldout-r3000
75,2.404353742642561,1.978220703125,1.9782849487304688,0.2382,0.23819999396800995,0.0,37481078,43089398,430917980,1970162,750,75,0,26645,10,506895,0.7569858431816101,19087,67.05559970007744,event_t0125_q005,event,4600,94600,heldout-r3000
90,2.386686208239803,1.959205859375,1.9487488403320312,0.2705,0.2705000042915344,0.0,46821027,52429347,524322270,2461233,900,90,0,30904,10,587816,0.7862709164619446,22235,80.38080899999477,event_t0125_q005,event,4600,94600,heldout-r3000
105,2.511679659325047,2.0815506591796873,2.0651630981445313,0.2326,0.23260000348091125,0.0,56636033,62244353,622477130,2977307,1050,105,0,35541,10,675919,0.829123318195343,25174,93.65380119998008,event_t0125_q005,event,4600,94600,heldout-r3000
120,2.3467234200634994,1.9142307739257813,1.9113133911132814,0.3097,0.30970001220703125,0.0,66919598,72527918,725317580,3518042,1200,120,0,39019,10,742001,0.8365224003791809,27702,106.9751910000341,event_t0125_q005,event,4600,94600,heldout-r3000
135,2.3637685076599473,1.9273436767578125,1.9041180480957032,0.3111,0.3111000061035156,0.07599999755620956,78085504,83693824,836981440,4105216,1350,135,0,44175,10,839965,0.8374216556549072,30756,120.27419810008723,event_t0125_q005,event,4600,94600,heldout-r3000
150,2.251171816692222,1.8114146118164063,1.8089152954101562,0.3262,0.326200008392334,0.09099999815225601,89830853,95439173,954439730,4722887,1500,150,0,39128,10,744072,0.7903544306755066,28421,133.58155660005286,event_t0125_q005,event,4600,94600,heldout-r3000
165,2.4719888653051107,2.0280222412109374,2.0003835388183595,0.2249,0.2248999923467636,0.004000000189989805,102265845,107874165,1078794450,5376855,1650,165,0,48112,10,914768,0.9167752265930176,34389,146.87479979998898,event_t0125_q005,event,4600,94600,heldout-r3000
180,2.3200495893719606,1.87135224609375,1.8548697326660157,0.3059,0.30590003728866577,0.054999999701976776,115157179,120765499,1207712590,6054841,1800,180,0,46260,10,879580,0.8468748331069946,33586,160.171939700027,event_t0125_q005,event,4600,94600,heldout-r3000
195,2.3049278839733454,1.8517220458984376,1.8443393859863282,0.318,0.31800001859664917,0.03500000014901161,128942425,134550745,1345569850,6779875,1950,195,0,50910,10,967930,0.8850518465042114,35863,173.48141730006319,event_t0125_q005,event,4600,94600,heldout-r3000
210,2.1933015396928415,1.7353547241210938,1.7327938812255859,0.3785,0.3785000443458557,0.02800000086426735,142403417,148011737,1480184570,7487843,2100,210,0,47190,10,897250,0.7820078730583191,34002,186.79373420006596,event_t0125_q005,event,4600,94600,heldout-r3000
225,2.2351320775356145,1.7725487670898437,1.7713825317382812,0.3371,0.3371000289916992,0.0,156303176,161911496,1619186960,8218904,2250,225,0,51114,10,971806,0.8357747793197632,36433,200.10484590008855,event_t0125_q005,event,4600,94600,heldout-r3000
240,2.0708606880152596,1.604720361328125,1.6030487213134765,0.4175,0.41750001907348633,0.27300000190734863,169916187,175524507,1755321870,8934873,2400,240,0,46020,10,875020,0.7460155487060547,33663,213.403415900073,event_t0125_q005,event,4600,94600,heldout-r3000
255,2.1106470484027637,1.6399919555664062,1.612801138305664,0.4182,0.4182000160217285,0.25099998712539673,184390050,189998370,1900065300,9696150,2550,255,0,46634,10,886686,0.7505349516868591,34362,226.74745300004724,event_t0125_q005,event,4600,94600,heldout-r3000
270,2.1394754195477814,1.6642759033203125,1.6630309814453126,0.4156,0.4156000316143036,0.09200000017881393,198852190,204460510,2044691500,10456810,2700,270,0,47570,10,904470,0.7746279239654541,35794,240.17861970001832,event_t0125_q005,event,4600,94600,heldout-r3000
285,2.0221295677090065,1.542883740234375,1.519180404663086,0.4387,0.43870002031326294,0.16699999570846558,213388335,218996655,2190057750,11221365,2850,285,0,47354,10,900366,0.7365970611572266,34819,253.5964198000729,event_t0125_q005,event,4600,94600,heldout-r3000
300,2.1869351230435075,1.7039479614257813,1.6744272857666016,0.3829,0.3828999996185303,0.04600000008940697,228531131,234139451,2341490510,12017849,3000,300,0,55059,10,1046761,0.8114101886749268,40208,266.92010210000444,event_t0125_q005,event,4600,94600,heldout-r3000
315,2.018666035236977,1.5317795532226564,1.5086538848876954,0.4466,0.4466000199317932,0.06599999964237213,243784089,249392409,2494024890,12820131,3150,315,0,50799,10,965821,0.7459948658943176,37565,280.275845300057,event_t0125_q005,event,4600,94600,heldout-r3000
330,1.9713925826488063,1.480879541015625,1.4734243347167968,0.4751,0.475100040435791,0.23999999463558197,259360503,264968823,2649793830,13639437,3300,330,0,52533,10,998767,0.741246223449707,38227,293.61979280004743,event_t0125_q005,event,4600,94600,heldout-r3000
345,2.018991693545133,1.5246934204101563,1.5235914672851563,0.4452,0.44519996643066406,0.014999999664723873,274990725,280599045,2806100850,14461575,3450,345,0,59554,10,1132166,0.7781093120574951,42109,306.9249384000432,event_t0125_q005,event,4600,94600,heldout-r3000
360,1.9967498365741223,1.4987221557617187,1.4822045013427734,0.4648,0.4647999703884125,0.23600000143051147,290650036,296258356,2962698760,15285244,3600,360,0,54100,10,1028540,0.7713823914527893,39600,320.2028415000532,event_t0125_q005,event,4600,94600,heldout-r3000
375,1.893973384462297,1.3925921020507812,1.3845267395019532,0.4967,0.4967000186443329,0.18299999833106995,306321526,311929846,3119418460,16109554,3750,375,0,53774,10,1022346,0.7255068421363831,39895,333.59917100006714,event_t0125_q005,event,4600,94600,heldout-r3000
390,1.9500453466281296,1.4453440673828124,1.433815966796875,0.4746,0.4745999872684479,0.0689999982714653,321738416,327346736,3273592160,16920464,3900,390,0,56009,10,1064811,0.7418769598007202,40969,346.8761377000483,event_t0125_q005,event,4600,94600,heldout-r3000
405,1.8727579030942172,1.3648260986328125,1.358354803466797,0.5134,0.5134000182151794,0.18700000643730164,337871473,343479793,3434927530,17769067,4050,405,0,55590,10,1056850,0.7107962369918823,40374,360.23284060007427,event_t0125_q005,event,4600,94600,heldout-r3000
420,1.8517115983374417,1.3406747924804687,1.332575555419922,0.5224,0.5224000215530396,0.2590000033378601,354150982,359759302,3597727420,18625378,4200,420,0,58841,10,1118619,0.727581262588501,42234,373.54075190005824,event_t0125_q005,event,4600,94600,heldout-r3000
435,1.8895638145606966,1.3752867919921874,1.3597535125732423,0.5028,0.5027999877929688,0.16500000655651093,370149595,375757915,3757718350,19466905,4350,435,0,57791,10,1098669,0.722185492515564,42030,386.9018576000817,event_t0125_q005,event,4600,94600,heldout-r3000
450,1.8293937149416655,1.3134715942382813,1.2994692321777344,0.5311,0.5310999751091003,0.2709999978542328,386021649,391629969,3916443690,20301771,4500,450,0,60138,10,1143262,0.7237294912338257,43284,400.2411637000041,event_t0125_q005,event,4600,94600,heldout-r3000
465,1.8242368394747377,1.3055115112304687,1.309893670654297,0.5282,0.5282000303268433,0.20600000023841858,402336745,407945065,4079599450,21159955,4650,465,0,51119,10,971901,0.6647561192512512,38248,413.567888300051,event_t0125_q005,event,4600,94600,heldout-r3000
480,1.809075358646363,1.2876691528320312,1.2824541290283202,0.5325,0.5325000286102295,0.29100000858306885,419038624,424646944,4246623040,22038496,4800,480,0,56932,10,1082348,0.6988007426261902,41731,426.91329759999644,event_t0125_q005,event,4600,94600,heldout-r3000
495,1.815415349245444,1.2914912963867187,1.286189828491211,0.5323,0.5322999954223633,0.23499999940395355,435420581,441028901,4410447410,22900199,4950,495,0,60245,10,1145295,0.7177072763442993,43755,440.19258899998385,event_t0125_q005,event,4600,94600,heldout-r3000
510,1.7981750010881572,1.271860693359375,1.273544223022461,0.5413,0.5412999987602234,0.24400000274181366,451542162,457150482,4571668020,23748198,5100,510,0,63944,10,1215576,0.7198397517204285,45424,453.48438730009366,event_t0125_q005,event,4600,94600,heldout-r3000
525,1.7248667697690427,1.196635791015625,1.2003647705078124,0.5701,0.5701000094413757,0.1979999989271164,467975989,473584309,4736011090,24612631,5250,525,0,54671,10,1039389,0.6546297669410706,40100,466.75823410006706,event_t0125_q005,event,4600,94600,heldout-r3000
540,1.751812065637484,1.2212243530273437,1.2190494781494141,0.5644,0.5644000172615051,0.35100001096725464,484931366,490539686,4905569660,25504514,5400,540,0,60008,10,1140792,0.6943572163581848,44032,480.1131757000694,event_t0125_q005,event,4600,94600,heldout-r3000
