round,train_objective,train_ce,test_ce,test_accuracy,macro_accuracy,worst_class_accuracy,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,coordinate_events,messages,replay_rounds,checkpoint_rounds,round_coordinate_events,round_messages,round_uplink_packetized_bits,server_update_norm,aggregate_nonzeros,elapsed_seconds,config_name,method,partition_seed,train_seed,tag
1,3.7497823714525964,3.30750869140625,3.2991268005371093,0.078,0.07800000160932541,0.0,2634249,8242569,82426010,138611,10,1,0,138611,10,2634249,8.716448783874512,35844,0.6006743000034476,strom_t01,strom,5000,95000,heldout-r1800
15,2.802992722065607,2.295381481933594,2.296121398925781,0.1405,0.1404999941587448,0.0,6535929,12144249,121447290,343491,150,15,0,8007,10,152773,1.140306830406189,4304,7.615506900001492,strom_t01,strom,5000,95000,heldout-r1800
30,2.8899109459121712,2.288973498535156,2.2896614501953123,0.1055,0.1054999977350235,0.0,8807992,14416312,144172720,462568,300,30,0,9765,10,186175,1.2093385457992554,5521,15.088389700002153,strom_t01,strom,5000,95000,heldout-r1800
45,2.8578228600839153,2.1137041259765623,2.1004226806640625,0.1987,0.19869999587535858,0.0,11562522,17170842,171722820,607038,450,45,0,10259,10,195561,1.2398790121078491,5880,22.583193200000096,strom_t01,strom,5000,95000,heldout-r1800
60,2.983625143923145,2.0471465942382814,2.039750360107422,0.225,0.22500000894069672,0.0,14506349,20114669,201165890,761471,600,60,0,10650,10,202990,1.192140817642212,6346,30.081435800006147,strom_t01,strom,5000,95000,heldout-r1800
75,3.2144666739485226,2.049202587890625,2.0495454223632814,0.2284,0.22840002179145813,0.0,17620302,23228622,232310220,924858,750,75,0,11665,10,222275,1.2569406032562256,7198,37.56336890000239,strom_t01,strom,5000,95000,heldout-r1800
90,3.363727481289674,1.9566527954101562,1.9569542358398437,0.2842,0.2842000126838684,0.0,20826785,26435105,264379850,1093115,900,90,0,11472,10,218608,1.1960768699645996,7215,45.03179320000345,strom_t01,strom,5000,95000,heldout-r1800
105,3.7136894534921274,2.055596081542969,2.0538995727539064,0.2161,0.21609997749328613,0.0,24152436,29760756,297641160,1267644,1050,105,0,11554,10,220166,1.2409672737121582,7529,52.58589240000583,strom_t01,strom,5000,95000,heldout-r1800
120,3.9302984908663667,2.017535205078125,2.022217724609375,0.2475,0.2474999874830246,0.014999999664723873,27843267,33451587,334554270,1461393,1200,120,0,12127,10,231053,1.4090776443481445,8223,60.0883077000035,strom_t01,strom,5000,95000,heldout-r1800
135,4.278475423582736,2.110238671875,2.1259667053222655,0.2251,0.22509999573230743,0.0,31384701,36993021,369973410,1647279,1350,135,0,14020,10,267020,1.338655948638916,9479,67.6415391000046,strom_t01,strom,5000,95000,heldout-r1800
