round,group,parameter_count,coordinate_events,active_clients,firing_fraction,mean_abs_pre_reset_evidence,config_name,partition_seed,train_seed
1,stem,464,316,10,0.06810344827586207,0.004473160556517542,event_t0125_q005,4700,94700
1,stage1.block1,4672,1456,10,0.031164383561643836,0.0028395822271704676,event_t0125_q005,4700,94700
1,stage1.block2,4672,957,10,0.02048373287671233,0.0022124703042209148,event_t0125_q005,4700,94700
1,stage2.block1,14528,5786,10,0.03982654185022026,0.002598477224819362,event_t0125_q005,4700,94700
1,stage2.block2,18560,9085,10,0.04894935344827586,0.0030633983900770546,event_t0125_q005,4700,94700
1,stage3.block1,57728,28762,10,0.04982330931263858,0.003010364400688559,event_t0125_q005,4700,94700
1,stage3.block2,73984,42365,10,0.05726238105536332,0.0032610007096081973,event_t0125_q005,4700,94700
1,head,650,2048,10,0.3150769230769231,0.015942147839814423,event_t0125_q005,4700,94700
2,stem,464,23,8,0.004956896551724138,0.0035934515297412874,event_t0125_q005,4700,94700
2,stage1.block1,4672,290,10,0.0062071917808219175,0.0025373772718012334,event_t0125_q005,4700,94700
2,stage1.block2,4672,132,8,0.0028253424657534248,0.002006475382950157,event_t0125_q005,4700,94700
2,stage2.block1,14528,899,10,0.006188050660792951,0.002000384370330721,event_t0125_q005,4700,94700
2,stage2.block2,18560,791,10,0.004261853448275862,0.0022401514463126658,event_t0125_q005,4700,94700
2,stage3.block1,57728,4096,10,0.007095343680709534,0.0022175033343955876,event_t0125_q005,4700,94700
2,stage3.block2,73984,5868,10,0.0079314446366782,0.0023513749707490205,event_t0125_q005,4700,94700
2,head,650,1903,10,0.2927692307692308,0.012342357076704502,event_t0125_q005,4700,94700
3,stem,464,29,9,0.00625,0.003771403571590781,event_t0125_q005,4700,94700
3,stage1.block1,4672,156,9,0.003339041095890411,0.002548442059196532,event_t0125_q005,4700,94700
3,stage1.block2,4672,100,8,0.0021404109589041095,0.0020557693555019797,event_t0125_q005,4700,94700
3,stage2.block1,14528,460,10,0.0031662995594713655,0.0019599097431637347,event_t0125_q005,4700,94700
