regime,method,test_loss,test_accuracy,whole_train_loss,payload_bits,central_test_loss,test_loss_excess
iid,events_raw,0.5185418903937689,0.7655000000000001,0.5470913450331149,75094.875,0.5125248644944318,0.0060170258993370584
iid,ef_k4,0.5170246033054597,0.7683333333333333,0.5597336023363333,710400.0,0.5125248644944318,0.004499738811027942
iid,full,0.5160237948426584,0.76675,0.5510532649063214,24011520.0,0.5125248644944318,0.00349893034822657
moderate,events_raw,0.5173679678895146,0.768,0.5453057087782274,89083.125,0.5116309894673488,0.005736978422165806
moderate,ef_k4,0.5164569909380693,0.7708333333333334,0.5584559462850117,710400.0,0.5116309894673488,0.004826001470720542
moderate,full,0.5145854355841843,0.7695833333333334,0.5491736695944304,24011520.0,0.5116309894673488,0.002954446116835596
strong,events_raw,0.4969259873067443,0.7805,0.5151713993041973,151498.125,0.4923786636510028,0.004547323655741509
strong,ef_k4,0.498709795492574,0.77925,0.5331494281042624,710400.0,0.4923786636510028,0.0063311318415711915
strong,full,0.4952704912994407,0.7806666666666666,0.5217342302389344,24011520.0,0.4923786636510028,0.0028918276484378724
