data_seed,method,test_loss,test_accuracy,whole_train_loss,payload_bits
1500,events_raw_q015,0.4859567968504946,0.7899166666666667,0.5099592829802109,149479.875
1500,ef_topk_k4,0.4875183113054703,0.7860833333333332,0.5270835500967342,710400.0
1500,full_precision,0.48443419876930793,0.7880833333333332,0.5163984380178452,24011520.0
1700,events_raw_q015,0.4671249397487226,0.7980833333333334,0.48607379605620227,160825.5
1700,ef_topk_k4,0.46664505633310255,0.7996666666666666,0.5043263000378335,710400.0
1700,full_precision,0.4641773921527388,0.8004166666666667,0.4933962543643888,24011520.0
