method,test_loss,test_accuracy,train_loss,whole_train_loss,payload_bits
scheduled_raw_q0.015,0.4969259873067443,0.7805,0.4901958225332248,0.5151713993041973,151498.125
scheduled_raw_q0.020,0.4984149326602457,0.7766666666666666,0.4913766501198163,0.5136304331303846,152191.125
EF-TopK_k1,0.5108146443364123,0.77625,0.5005171040361522,0.5506476782673713,177600.0
EF-TopK_k4,0.498709795492574,0.77925,0.4906392581265051,0.5331494281042624,710400.0
EF-TopK_k8,0.4965080249212655,0.7803333333333333,0.4887471885322472,0.5280640897850634,1420800.0
EF-TopK_k16,0.4958789945688965,0.7793333333333333,0.4881377975499644,0.5248253882176857,2841600.0
full_precision,0.4952704912994407,0.7806666666666666,0.487646416605139,0.5217342302389344,24011520.0
centralized_LBFGS,0.4923786636510028,0.7811666666666667,0.48472337480186956,,
