method,train_loss,test_loss,test_accuracy,whole_train_loss,payload_bits,candidate_events,accepted_events,acceptance_fraction
scheduled_events,0.5393135553004712,0.5385542356671416,0.7903333333333333,0.6466851610984397,12055.5,1339.5,1339.5,1.0
packet_descent_oracle,0.5521927298774918,0.5511220077405008,0.7803333333333333,0.6502635252207463,10993.5,1221.5,1124.5,0.9205894392140811
ef_topk_k8,0.5262117821748267,0.5237875060141609,0.7843333333333333,0.6281782829384409,295680.0,0.0,0.0,
full_precision,0.5033526731984861,0.5012296919605599,0.786,0.6102417629931053,4996992.0,0.0,0.0,
