normalization,jump0,test_loss,test_accuracy,whole_train_loss,payload_bits,normalization_bits,candidate_events,event_share_W1,event_share_b1,event_share_W2,event_share_b2
raw,0.015,0.49692598730674437,0.7805,0.5151713993041973,151498.125,0.0,16833.125,0.8588274607359002,0.07728808524857982,0.03422567110979096,0.02965878290572903
raw,0.020,0.4984149326602457,0.7766666666666666,0.5136304331303846,152191.125,0.0,16910.125,,,,
layer,0.015,0.5001277380714875,0.7779166666666666,0.5126530709994201,268626.125,1280.0,29705.125,0.9177961715360565,0.0620347498958513,0.015578119937216221,0.004590958630875985
layer,0.020,0.5028676943478252,0.77425,0.5128520879940748,270173.0,1280.0,29877.0,,,,
coordinate,0.015,0.4991555218321264,0.78,0.5254010561532363,209589.875,54080.0,17278.875,0.9134130549587285,0.06100657594895501,0.016638814737649298,0.008941554354667187
coordinate,0.020,0.5001067584536721,0.7796666666666667,0.5222568271529893,213759.125,54080.0,17742.125,,,,
