method,test_loss,test_accuracy,train_loss,whole_train_loss,payload_bits
events_raw_q015,0.498290584892053,0.7786666666666666,0.4886059257045884,0.5044451103215217,332526.375
ef_topk_k4,0.498096254960206,0.7789166666666667,0.4901399074373131,0.5141599202834714,1420800.0
ef_topk_k8,0.4964660726812259,0.77675,0.4876419117797942,0.5107368829483937,2841600.0
full_precision,0.495332938388303,0.7781666666666667,0.4867065855018918,0.5070824066439895,48023040.0
