comparison,n_pairs,mean_accuracy_difference_points,std_accuracy_difference_points,ci95_low_points,ci95_high_points,variant_wins,mean_paired_traffic_ratio
memoryless_minus_frozen,10,-11.639,1.609820211,-12.79059592,-10.48740408,0,0.9669413198
subtractive_minus_frozen,10,0.423,0.5992597285,-0.005684554414,0.8516845544,7,1.041370077
