architecture,method,dimension,rounds,local_steps,local_lr,final_train_objective,final_train_ce,final_test_ce,final_test_accuracy,final_macro_accuracy,final_worst_class_accuracy,whole_train_objective,uplink_payload_bits,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,broadcast_total_bits,unicast_hybrid_total_bits,messages,coordinate_events,events_per_message,mean_delta_norm,replay_rounds,checkpoint_rounds,rho,threshold,jump0,jump_exponent,topk_fraction,strom_threshold,init_scale,server_gain,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,point_id,benchmark,role,configuration,seed_index,seed_subset,partition_seed,train_seed,config_name,family,tag,event_memory,event_reset
cifar_cnn,event,20570,120,5,0.05,1.881498373,1.816729102,1.823549567,0.3674,0.3674,0.087,2.016023772,17291472,17368272,18026576,180304160,35394848,197672432,1200,1080717,900.5975,0.3885220358,120,0,0.999,0.01,0.005,0.2,0.025,0.005,1,1,0.473,0.288,0.087,0.104,0.343,0.595,0.764,0.4,0.278,0.342,,,,,,,3700,83700,memoryless_t0p01,memoryless,heldout,memoryless,full
cifar_cnn,event,20570,120,5,0.05,1.860337854,1.800119409,1.843349695,0.3493,0.3493,0.091,2.034233339,16982784,17059584,17717888,177217280,34777472,194276864,1200,1061424,884.52,0.3891474383,120,0,0.999,0.01,0.005,0.2,0.025,0.005,1,1,0.204,0.665,0.091,0.203,0.194,0.364,0.401,0.301,0.67,0.4,,,,,,,3800,83800,memoryless_t0p01,memoryless,heldout,memoryless,full
cifar_cnn,event,20570,120,5,0.05,1.828602857,1.765874597,1.777807501,0.3782,0.3782,0.018,2.068815094,16912736,16989536,17647840,176516800,34637376,193506336,1200,1057046,880.8716667,0.3857010245,120,0,0.999,0.01,0.005,0.2,0.025,0.005,1,1,0.491,0.442,0.39,0.343,0.018,0.189,0.367,0.388,0.599,0.555,,,,,,,3900,83900,memoryless_t0p01,memoryless,heldout,memoryless,full
cifar_cnn,event,20570,120,5,0.05,1.832946451,1.7690823,1.78416355,0.3666,0.3666,0.063,2.039483143,17625504,17702304,18360608,183644480,36062912,201346784,1200,1101594,917.995,0.3880486268,120,0,0.999,0.01,0.005,0.2,0.025,0.005,1,1,0.318,0.363,0.063,0.221,0.352,0.421,0.749,0.594,0.14,0.445,,,,,,,4000,84000,memoryless_t0p01,memoryless,heldout,memoryless,full
cifar_cnn,event,20570,120,5,0.05,1.852909685,1.790526514,1.813472205,0.368,0.368,0.016,2.075780068,17509328,17586128,18244432,182482720,35830560,200068848,1200,1094333,911.9441667,0.3901930553,120,0,0.999,0.01,0.005,0.2,0.025,0.005,1,1,0.389,0.44,0.016,0.268,0.534,0.524,0.512,0.447,0.31,0.24,,,,,,,4100,84100,memoryless_t0p01,memoryless,heldout,memoryless,full
cifar_cnn,event,20570,120,5,0.05,1.709644281,1.64759707,1.691690393,0.3888,0.3888,0.098,2.047017339,17162384,17239184,17897488,179013280,35136672,196252464,1200,1072649,893.8741667,0.3873754774,120,0,0.999,0.01,0.005,0.2,0.025,0.005,1,1,0.487,0.345,0.327,0.253,0.098,0.667,0.559,0.373,0.282,0.497,,,,,,,4200,84200,memoryless_t0p01,memoryless,heldout,memoryless,full
cifar_cnn,event,20570,120,5,0.05,1.834089773,1.774692041,1.784398666,0.3594,0.3594,0.102,2.103288936,17220160,17296960,17955264,179591040,35252224,196888000,1200,1076260,896.8833333,0.389972526,120,0,0.999,0.01,0.005,0.2,0.025,0.005,1,1,0.255,0.682,0.19,0.45,0.102,0.384,0.281,0.314,0.392,0.544,,,,,,,4300,84300,memoryless_t0p01,memoryless,heldout,memoryless,full
cifar_cnn,event,20570,120,5,0.05,1.914054752,1.856325867,1.909214197,0.359,0.359,0.116,2.034093825,16098704,16175504,16833808,168376480,33009312,184551984,1200,1006169,838.4741667,0.3798667095,120,0,0.999,0.01,0.005,0.2,0.025,0.005,1,1,0.376,0.673,0.131,0.149,0.275,0.116,0.498,0.34,0.705,0.327,,,,,,,4400,84400,memoryless_t0p01,memoryless,heldout,memoryless,full
cifar_cnn,event,20570,120,5,0.05,1.454976049,1.39874917,1.430989276,0.4865,0.4865,0.327,1.733335218,18883200,18960000,19618304,196221440,38578304,215181440,1200,1180200,983.5,0.3308394213,120,0,0.999,0.025,0.005,0.2,0.025,0.005,1,1,0.471,0.68,0.401,0.349,0.327,0.362,0.666,0.54,0.644,0.425,,,,,,,3500,83500,subtractive_t0p025,subtractive,heldout,persistent,subtractive
cifar_cnn,event,20570,120,5,0.05,1.45840415,1.401250647,1.406257581,0.4965,0.4965,0.208,1.74565802,18507088,18583888,19242192,192460320,37826080,211044208,1200,1156693,963.9108333,0.3277931914,120,0,0.999,0.025,0.005,0.2,0.025,0.005,1,1,0.583,0.6,0.208,0.386,0.518,0.395,0.603,0.577,0.478,0.617,,,,,,,3600,83600,subtractive_t0p025,subtractive,heldout,persistent,subtractive
cifar_cnn,event,20570,120,5,0.05,1.484546809,1.426634631,1.453395331,0.4774,0.4774,0.218,1.781622767,18552768,18629568,19287872,192917120,37917440,211546688,1200,1159548,966.29,0.3315274585,120,0,0.999,0.025,0.005,0.2,0.025,0.005,1,1,0.602,0.474,0.313,0.218,0.344,0.575,0.592,0.58,0.508,0.568,,,,,,,3700,83700,subtractive_t0p025,subtractive,heldout,persistent,subtractive
cifar_cnn,event,20570,120,5,0.05,1.461835485,1.405145227,1.446329559,0.472,0.472,0.168,1.738034785,18390304,18467104,19125408,191292480,37592512,209759584,1200,1149394,957.8283333,0.3278224154,120,0,0.999,0.025,0.005,0.2,0.025,0.005,1,1,0.459,0.505,0.294,0.168,0.394,0.624,0.656,0.468,0.646,0.506,,,,,,,3800,83800,subtractive_t0p025,subtractive,heldout,persistent,subtractive
cifar_cnn,event,20570,120,5,0.05,1.453117105,1.396068506,1.433497028,0.4865,0.4865,0.228,1.746416937,17939392,18016192,18674496,186783360,36690688,204799552,1200,1121212,934.3433333,0.3278951043,120,0,0.999,0.025,0.005,0.2,0.025,0.005,1,1,0.536,0.555,0.228,0.28,0.436,0.471,0.623,0.622,0.547,0.567,,,,,,,3900,83900,subtractive_t0p025,subtractive,heldout,persistent,subtractive
cifar_cnn,event,20570,120,5,0.05,1.461367604,1.407374829,1.431146875,0.481,0.481,0.236,1.742535513,18133728,18210528,18868832,188726720,37079360,206937248,1200,1133358,944.465,0.3270324722,120,0,0.999,0.025,0.005,0.2,0.025,0.005,1,1,0.393,0.666,0.371,0.236,0.337,0.404,0.729,0.508,0.648,0.518,,,,,,,4000,84000,subtractive_t0p025,subtractive,heldout,persistent,subtractive
cifar_cnn,event,20570,120,5,0.05,1.473496262,1.418010266,1.440726328,0.4827,0.4827,0.234,1.741035843,17475312,17552112,18210416,182142560,35762528,199694672,1200,1092207,910.1725,0.3276372659,120,0,0.999,0.025,0.005,0.2,0.025,0.005,1,1,0.58,0.636,0.234,0.308,0.564,0.502,0.414,0.496,0.561,0.532,,,,,,,4100,84100,subtractive_t0p025,subtractive,heldout,persistent,subtractive
cifar_cnn,event,20570,120,5,0.05,1.424770891,1.366976526,1.411841296,0.4977,0.4977,0.294,1.728332625,18725136,18801936,19460240,194640800,38262176,213442736,1200,1170321,975.2675,0.3302058414,120,0,0.999,0.025,0.005,0.2,0.025,0.005,1,1,0.46,0.755,0.391,0.386,0.294,0.465,0.594,0.586,0.57,0.476,,,,,,,4200,84200,subtractive_t0p025,subtractive,heldout,persistent,subtractive
cifar_cnn,event,20570,120,5,0.05,1.469411999,1.410801453,1.446489755,0.4825,0.4825,0.325,1.751821659,18460160,18536960,19195264,191991040,37732224,210528000,1200,1153760,961.4666667,0.3298410386,120,0,0.999,0.025,0.005,0.2,0.025,0.005,1,1,0.384,0.537,0.328,0.467,0.325,0.468,0.562,0.557,0.6,0.597,,,,,,,4300,84300,subtractive_t0p025,subtractive,heldout,persistent,subtractive
cifar_cnn,event,20570,120,5,0.05,1.444471651,1.388316626,1.428913428,0.4922,0.4922,0.284,1.738262292,18372240,18449040,19107344,191111840,37556384,209560880,1200,1148265,956.8875,0.3302206444,120,0,0.999,0.025,0.005,0.2,0.025,0.005,1,1,0.536,0.725,0.31,0.284,0.361,0.46,0.647,0.499,0.535,0.565,,,,,,,4400,84400,subtractive_t0p025,subtractive,heldout,persistent,subtractive
