regime,local_steps,metric,n_seeds,mean,std,min,max
iid,1,weighted_alignment_ratio,10,10.36198940089149,0.2271080041357277,10.09761124534974,10.820721186149065
iid,1,positive_alignment_fraction,10,0.9612903225806452,0.01360119423728334,0.935483870967742,0.967741935483871
iid,1,objective_decrease_fraction,10,0.9612903225806452,0.01360119423728334,0.935483870967742,0.967741935483871
iid,1,positive_without_descent_fraction,10,0.0,0.0,0.0,0.0
iid,1,late_alignment_ratio,10,15.966521690273836,1.3306094717951633,14.071212158823284,17.947954445947925
iid,1,late_objective_decrease_fraction,10,1.0,0.0,1.0,1.0
iid,1,harmful_mass_share,10,0.0215627504937374,0.0020165446355362177,0.0189080898363047,0.0253462172268061
iid,1,event_local_mass_fraction,10,0.005628884778934949,0.00014292840481135304,0.005347691764144,0.0059002438466489
iid,1,ideal_local_ratio,10,32.720759002834335,1.173586071685422,31.091063521776054,34.936129655545635
iid,1,memory_penalty_ratio,10,0.0,0.0,0.0,0.0
iid,1,local_drift_ratio,10,-22.10539304793101,1.0581264272421174,-24.31483922906256,-20.55192127914487
iid,1,heterogeneity_ratio,10,-0.25337655401184217,0.037784314211841266,-0.3083719221730551,-0.1979369308145347
iid,1,mean_curvature_remainder,10,0.00041294171024857003,7.22789869669979e-05,0.0003143840809694,0.0005871307535579
iid,1,mean_coordinate_events_per_audit,10,422.6645161290323,12.919087025535553,402.258064516129,450.7096774193548
iid,1,mean_aggregate_energy,10,532.3225806451613,16.757829073035342,512.7741935483871,569.8709677419355
iid,1,mean_cancellation_fraction,10,0.0015454445848259,0.001793366354690965,0.0003705541770057,0.0064894594253337
iid,1,max_memory_opposition_penalty,10,0.0,0.0,0.0,0.0
iid,1,defect_to_target_fraction,10,0.3050526197936271,0.015642000480056605,0.2846393570283594,0.3380845455730475
iid,1,final_test_ce,10,0.8042423665523529,0.0046804831549898274,0.7969455122947693,0.8128939867019653
iid,1,final_test_accuracy,10,0.71432,0.00430808026336043,0.7071,0.7211
iid,1,final_worst_class_accuracy,10,0.17909999999999998,0.047282719417939115,0.136,0.278
iid,1,coordinate_events_total,10,64705.5,1152.11942378673,63508.0,66755.0
iid,1,uplink_packetized_bits,10,1126507.2,18510.863769989533,1107392.0,1159280.0
iid,1,unicast_hybrid_total_bits,10,20701979.2,203619.50146988485,20491712.0,21062480.0
iid,5,weighted_alignment_ratio,10,45.309253990233,1.6581676913236807,42.55202815159147,47.605945811542334
iid,5,positive_alignment_fraction,10,0.9903225806451612,0.021772534119695236,0.935483870967742,1.0
iid,5,objective_decrease_fraction,10,0.9483870967741936,0.04080358271185007,0.8709677419354839,1.0
iid,5,positive_without_descent_fraction,10,0.041935483870967696,0.02655718072092141,0.0,0.064516129032258
iid,5,late_alignment_ratio,10,17.76964674838251,3.6858793016709153,12.839079271709252,23.396805625244763
iid,5,late_objective_decrease_fraction,10,0.8800000000000001,0.07888106377466153,0.8,1.0
iid,5,harmful_mass_share,10,0.07600002499620949,0.00589271709282013,0.0668376856671458,0.0869193142346723
iid,5,event_local_mass_fraction,10,0.01910836758403345,0.0004630699919763234,0.0186132483426993,0.0201243194220811
iid,5,ideal_local_ratio,10,110.13567815314013,3.9199240755602944,103.8610344874388,115.72406348258072
iid,5,memory_penalty_ratio,10,0.0,0.0,0.0,0.0
iid,5,local_drift_ratio,10,-59.176119055166126,3.3965304886034833,-64.4255390848678,-53.63585907254857
iid,5,heterogeneity_ratio,10,-5.650305107740997,0.4614725884806674,-6.4880110235859085,-4.984290803534223
iid,5,mean_curvature_remainder,10,0.007143757328264841,0.0006264917933131214,0.0060952394114739,0.0078565184136846
iid,5,mean_coordinate_events_per_audit,10,1753.6612903225807,41.59164317571171,1684.3870967741937,1819.516129032258
iid,5,mean_aggregate_energy,10,2894.7967741935486,53.044677251492395,2779.6774193548385,2949.709677419354
iid,5,mean_cancellation_fraction,10,0.01808647807759871,0.004290711726872207,0.0144622393607051,0.0299599603085427
iid,5,max_memory_opposition_penalty,10,0.0,0.0,0.0,0.0
iid,5,defect_to_target_fraction,10,0.20755933034053817,0.005498476607725371,0.2013167446875302,0.2174544602139047
iid,5,final_test_ce,10,0.475441911816597,0.0023563019962483775,0.4704092741012573,0.4781356453895569
iid,5,final_test_accuracy,10,0.8332700000000001,0.0023673942543555354,0.8309,0.8376
iid,5,final_worst_class_accuracy,10,0.5276000000000001,0.031106269464530788,0.483,0.569
iid,5,coordinate_events_total,10,256319.5,4256.316880694962,248523.0,261931.0
iid,5,uplink_packetized_bits,10,4196561.6,68105.45024233458,4071792.0,4286256.0
iid,5,unicast_hybrid_total_bits,10,54472577.6,749159.9526656803,53100112.0,55459216.0
strong,1,weighted_alignment_ratio,10,20.140320255500573,0.8731068411735526,18.61238159020753,21.569645485663862
strong,1,positive_alignment_fraction,10,0.9774193548387096,0.015582125533537017,0.967741935483871,1.0
strong,1,objective_decrease_fraction,10,0.8741935483870966,0.04420388127117088,0.8064516129032258,0.935483870967742
strong,1,positive_without_descent_fraction,10,0.10322580645161286,0.045110057985812975,0.032258064516129,0.1612903225806451
strong,1,late_alignment_ratio,10,25.026981259859895,3.978377387982321,18.69478601250485,34.251720442017714
strong,1,late_objective_decrease_fraction,10,0.77,0.10593499054713805,0.6,0.9
strong,1,harmful_mass_share,10,0.29758198961030446,0.0067532690087230415,0.284408133753289,0.3066916407556461
strong,1,event_local_mass_fraction,10,0.05744506915285728,0.0012925965366187282,0.0556204623738386,0.0602146755990903
strong,1,ideal_local_ratio,10,460.62762315234306,26.618599387816715,431.3535507143464,526.5598165616257
strong,1,memory_penalty_ratio,10,0.0,0.0,0.0,0.0
strong,1,local_drift_ratio,10,-90.17429819138246,8.542054744461053,-108.60262781242808,-76.96595810460074
strong,1,heterogeneity_ratio,10,-350.31300470546,18.169783063826852,-396.3875432635338,-334.8059619511592
strong,1,mean_curvature_remainder,10,0.009600186162144171,0.0010005815244204933,0.0083448614382381,0.0114635442168243
strong,1,mean_coordinate_events_per_audit,10,3364.9354838709683,92.36517205457655,3228.870967741936,3511.8064516129034
strong,1,mean_aggregate_energy,10,3245.038709677419,96.47827133060028,3125.064516129032,3375.3870967741937
strong,1,mean_cancellation_fraction,10,0.11427842819489649,0.0048778689990879075,0.1079412154151551,0.1217337681124729
strong,1,max_memory_opposition_penalty,10,0.0,0.0,0.0,0.0
strong,1,defect_to_target_fraction,10,0.14880446294492153,0.02340261892250446,0.1136154658428836,0.1777838320640131
