round,jump,reference_size,reference_objective_before,reference_objective_after,objective_change,gradient_sq_norm,gradient_norm,coordinate_events,aggregate_nonzeros,aggregate_l1,aggregate_energy,event_energy_ratio,cancellation_fraction,descent_mass,harmful_mass,net_alignment,inner_product_alignment,alignment_identity_error,alignment_ratio,harmful_share,first_order_change,curvature_remainder,objective_decreased,net_alignment_positive,update_reconstruction_error,ideal_local_mass,memory_opposition_penalty,local_drift_term,heterogeneity_term,silent_local_mass,event_local_mass_fraction,decomposition_alignment,decomposition_identity_error,kappa_gradient_sq,defect,coverage_deficit,memory_penalty,drift_penalty,heterogeneity_penalty,defect_upper_bound,defect_bound_slack,regime,local_steps,partition_seed,train_seed
1.0,0.0049950273089797445,60000.0,2.305176560688019,2.305176560688019,0.0,0.6123968205195465,0.7825578703965264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1398.7039377812087,0.0,0.0,0.0,4.899174564156372,4.899174564156372,4.899174564156372,0.0,0.0,0.0,4.899174564156372,0.0,iid,1,3300,73300
5.0,0.004975664333249537,60000.0,2.3052122055053714,2.305163855457306,-4.8350048065248785e-05,0.6130286374646355,0.7829614533708767,3.0,3.0,3.0,3.0,0.1,0.0,0.011862445768201724,0.0014197897107806057,0.010442656057421118,0.010442656057421118,0.0,0.017034532188593774,0.10689388190920618,-5.1959151289302485e-05,3.6091032240537e-06,1.0,1.0,0.0,0.20451731979846954,0.0,-0.19416943285614252,9.476911509409547e-05,1433.9489720195934,0.00014260490339334286,0.010442656057421118,0.0,4.904229099717084,4.893786443659663,4.699711779918615,0.0,0.19416943285614252,0.0,4.893881212774757,9.476911509409547e-05,iid,1,3300,73300
10.0,0.004952571291072609,60000.0,2.3034918920993808,2.302039959526062,-0.0014519325733188815,0.6118506539297585,0.7822088301277086,15.0,11.0,15.0,25.0,0.16666666666666666,0.0,0.29391574425972067,0.0,0.29391574425972067,0.29391574425972067,0.0,0.48037170896521214,0.0,-0.0014556386770149315,3.7061036960500324e-06,1.0,1.0,0.0,0.3866207832470536,0.0,-0.09137891605496407,-0.0013261229323688895,1429.3807434305722,0.00027040817473102926,0.29391574425972067,0.0,4.894805231438068,4.600889487178347,4.508184448191014,0.0,0.09137891605496407,0.0013261229323688895,4.600889487178347,0.0,iid,1,3300,73300
15.0,0.004930605096731035,60000.0,2.264506822872162,2.2388402013301847,-0.025666621541977186,0.5621869502268619,0.7497912711060738,420.0,282.0,420.0,798.0,0.19,0.0,5.809296069244738,0.0,5.809296069244738,5.809296069244738,0.0,10.333388327317959,0.0,-0.02864334480743767,0.002976723265460484,1.0,1.0,0.0,7.958053320180625,0.0,-2.1310126741882414,-0.017744576747645624,1475.4123070786045,0.005364845848774546,5.809296069244738,0.0,4.4974956018148955,0.0,0.0,0.0,2.1310126741882414,0.017744576747645624,2.148757250935887,2.148757250935887,iid,1,3300,73300
20.0,0.004909665222809563,60000.0,2.1603608419418334,2.141732058429718,-0.018628783512115277,0.42354676596634966,0.6508047064721871,431.0,320.0,431.0,713.0,0.1654292343387471,0.0,3.890912270995017,0.002106156558284056,3.8888061144367327,3.8888061144367327,0.0,9.181527110859097,0.0005410086280037829,-0.01909273613829921,0.0004639526261839347,1.0,1.0,0.0,6.370576279005036,0.0,-2.4644363895786228,-0.01733377498968025,1263.1971809797576,0.005017909633086711,3.8888061144367327,0.0,3.3883741277307973,0.0,0.0,0.0,2.4644363895786228,0.01733377498968025,2.481770164568303,2.481770164568303,iid,1,3300,73300
25.0,0.004889663842714643,60000.0,2.0373771847724913,2.013063204717636,-0.0243139800548553,0.5110171539170877,0.7148546383126346,556.0,423.0,556.0,912.0,0.16402877697841728,0.0,5.078451761194543,0.01917084227396515,5.059280918920578,5.059280918920578,0.0,9.9004130881709,0.003760741774199013,-0.024738182979382062,0.0004242029245267627,1.0,1.0,0.0,7.934848651930224,0.0,-2.850788606756396,-0.024779126253250183,1216.8438114185483,0.006478598060708881,5.059280918920578,0.0,4.0881372313367015,0.0,0.0,0.0,2.850788606756396,0.024779126253250183,2.875567733009646,2.875567733009646,iid,1,3300,73300
30.0,0.004870523791274274,60000.0,1.8944603275299072,1.868525168800354,-0.02593515872955332,0.47139320587072575,0.6865808079685346,573.0,460.0,573.0,861.0,0.15026178010471203,0.0,5.401415739967604,0.0033580335630176705,5.398057706404586,5.398057706404586,0.0,11.451284488569701,0.0006213088102712696,-0.026291368485714978,0.0003562097561616573,1.0,1.0,1.862645149230957e-09,8.807487849262543,0.0,-3.3782203187292907,-0.03120982412866624,1108.7954256056883,0.007880695140669533,5.398057706404586,0.0,3.771145646965806,0.0,0.0,0.0,3.3782203187292907,0.03120982412866624,3.409430142857957,3.409430142857957,iid,1,3300,73300
35.0,0.00485217691736981,60000.0,1.740538615417481,1.7060189990997319,-0.034519616317749025,0.37017171339742866,0.6084173842005409,817.0,681.0,817.0,1139.0,0.1394124847001224,0.0,7.531446451922932,0.012023219831320375,7.5194232320916115,7.5194232320916115,0.0,20.313338269633014,0.0015938580460315348,-0.03648557183868921,0.0019659555209401852,1.0,1.0,0.0,13.035757618927164,0.0,-5.441902065964314,-0.07443232087123874,1017.2063984701049,0.012653100576288816,7.5194232320916115,0.0,2.9613737071794293,0.0,0.0,0.0,5.441902065964314,0.07443232087123874,5.5163343868355526,5.5163343868355526,iid,1,3300,73300
40.0,0.004834562741728745,60000.0,1.5927793753623964,1.5680159012794497,-0.024763474082946768,0.2426507911916929,0.49259597155447066,587.0,482.0,587.0,841.0,0.14327086882453152,0.0,5.261151102070869,0.016234429943153827,5.244916672127715,5.244916672127715,0.0,21.615081683307835,0.003076225878263292,-0.02535687872654057,0.000593404643593802,1.0,1.0,0.0,10.57747341983486,0.0,-5.328820683808772,-0.0037360638983727767,938.9015130400787,0.011140292276791145,5.244916672127715,0.0,1.941206329533543,0.0,0.0,0.0,5.328820683808772,0.0037360638983727767,5.3325567477071445,5.3325567477071445,iid,1,3300,73300
45.0,0.004817627354629756,60000.0,1.4847705624580385,1.4668555495262148,-0.017915012931823737,0.18690257551813078,0.43232230513603015,522.0,450.0,522.0,690.0,0.13218390804597702,0.0,3.8375831810217846,0.021203891304253375,3.8163792897175313,3.8163792897175313,0.0,20.41908346708319,0.00549496277115697,-0.018385893261785656,0.0004708803299619188,1.0,1.0,0.0,8.702363915363094,0.0,-4.856466567511234,-0.02951805813432884,939.1089829781058,0.009181535907842653,3.8163792897175313,0.0,1.4952206041450462,0.0,0.0,0.0,4.856466567511234,0.02951805813432884,4.885984625645563,4.885984625645563,iid,1,3300,73300
