architecture,method,dimension,rounds,local_steps,local_lr,final_train_objective,final_train_ce,final_test_ce,final_test_accuracy,final_macro_accuracy,final_worst_class_accuracy,whole_train_objective,uplink_payload_bits,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,broadcast_total_bits,unicast_hybrid_total_bits,messages,coordinate_events,events_per_message,mean_delta_norm,replay_rounds,checkpoint_rounds,rho,threshold,jump0,jump_exponent,topk_fraction,strom_threshold,init_scale,server_gain,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,point_id,benchmark,role,configuration,seed_index,seed_subset,partition_seed,train_seed
cifar_cnn,dense,20570,120,5,0.05,1.580609525,1.547510693,1.567312723,0.4299,0.4299,0.184,1.808751962,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.3570610245,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,2,0.6,0.473,0.387,0.184,0.499,0.254,0.49,0.454,0.603,0.355,cifar_dense_gain2,cifar_cnn,dense_reference,dense_gain_2p0,0,original,3500,83500
cifar_cnn,dense,20570,120,5,0.05,1.588738497,1.555605627,1.561927234,0.4416,0.4416,0.294,1.830403057,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.356337201,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,2,0.525,0.357,0.354,0.441,0.326,0.479,0.528,0.489,0.294,0.623,cifar_dense_gain2,cifar_cnn,dense_reference,dense_gain_2p0,1,original,3600,83600
cifar_cnn,dense,20570,120,5,0.05,1.526807107,1.493701794,1.515459076,0.4523,0.4523,0.221,1.837396527,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.356785315,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,2,0.618,0.449,0.221,0.332,0.42,0.525,0.504,0.467,0.491,0.496,cifar_dense_gain2,cifar_cnn,dense_reference,dense_gain_2p0,2,original,3700,83700
cifar_cnn,dense,20570,120,5,0.05,1.581277252,1.54805011,1.586644879,0.4237,0.4237,0.219,1.799465748,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.3566774724,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,2,0.219,0.354,0.23,0.275,0.238,0.467,0.769,0.531,0.649,0.505,cifar_dense_gain2,cifar_cnn,dense_reference,dense_gain_2p0,3,extension,3800,83800
cifar_cnn,dense,20570,120,5,0.05,1.528514191,1.495601392,1.527490594,0.4491,0.4491,0.248,1.820559931,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.3598898645,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,2,0.498,0.422,0.417,0.248,0.309,0.283,0.618,0.546,0.648,0.502,cifar_dense_gain2,cifar_cnn,dense_reference,dense_gain_2p0,4,extension,3900,83900
cifar_cnn,dense,20570,120,5,0.05,1.579441956,1.546405103,1.568762585,0.4461,0.4461,0.212,1.83339927,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.3516767921,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,2,0.475,0.729,0.226,0.212,0.32,0.22,0.681,0.5,0.623,0.475,cifar_dense_gain2,cifar_cnn,dense_reference,dense_gain_2p0,5,extension,4000,84000
cifar_cnn,dense,20570,120,5,0.05,1.531446909,1.498417456,1.528891443,0.4497,0.4497,0.144,1.809197631,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.354387251,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,2,0.41,0.588,0.144,0.261,0.372,0.635,0.511,0.516,0.558,0.502,cifar_dense_gain2,cifar_cnn,dense_reference,dense_gain_2p0,6,extension,4100,84100
cifar_cnn,dense,20570,120,5,0.05,1.524497226,1.491538928,1.531179126,0.4441,0.4441,0.189,1.817919807,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.355917484,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,2,0.51,0.419,0.345,0.385,0.189,0.537,0.521,0.498,0.482,0.555,cifar_dense_gain2,cifar_cnn,dense_reference,dense_gain_2p0,7,extension,4200,84200
cifar_cnn,dense,20570,120,5,0.05,1.650289875,1.617503418,1.627222775,0.4088,0.4088,0.173,1.831165952,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.3597576413,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,2,0.359,0.574,0.19,0.574,0.173,0.412,0.477,0.457,0.235,0.637,cifar_dense_gain2,cifar_cnn,dense_reference,dense_gain_2p0,8,extension,4300,84300
cifar_cnn,dense,20570,120,5,0.05,1.531569666,1.498549768,1.541013956,0.4426,0.4426,0.197,1.830891798,789888000,789964800,79654784,796586240,869619584,1586551040,1200,0,0,0.3554786128,0,120,0.999,0.025,0.005,0.2,0.01,0.01,1,2,0.473,0.706,0.256,0.298,0.337,0.197,0.713,0.398,0.587,0.461,cifar_dense_gain2,cifar_cnn,dense_reference,dense_gain_2p0,9,extension,4400,84400
cifar_cnn,ef_topk,20570,120,5,0.05,1.629407279,1.596695056,1.615715091,0.4176,0.4176,0.276,1.914631294,57979200,58056000,58714304,587181440,116770304,645237440,1200,0,0,0.3433384473,120,0,0.999,0.025,0.005,0.2,0.05,0.01,1,1,0.474,0.555,0.325,0.304,0.276,0.276,0.559,0.474,0.498,0.435,cifar_ef_quality,cifar_cnn,qualification,ef_k05,0,original,3500,83500
cifar_cnn,ef_topk,20570,120,5,0.05,1.650019953,1.617199194,1.605380383,0.424,0.424,0.248,1.927664209,57979200,58056000,58714304,587181440,116770304,645237440,1200,0,0,0.3411776886,120,0,0.999,0.025,0.005,0.2,0.05,0.01,1,1,0.487,0.51,0.248,0.279,0.272,0.424,0.54,0.482,0.442,0.556,cifar_ef_quality,cifar_cnn,qualification,ef_k05,1,original,3600,83600
cifar_cnn,ef_topk,20570,120,5,0.05,1.64389772,1.61101593,1.605763034,0.4249,0.4249,0.266,1.934645401,57979200,58056000,58714304,587181440,116770304,645237440,1200,0,0,0.3446045497,120,0,0.999,0.025,0.005,0.2,0.05,0.01,1,1,0.518,0.557,0.266,0.308,0.273,0.343,0.547,0.482,0.43,0.525,cifar_ef_quality,cifar_cnn,qualification,ef_k05,2,original,3700,83700
cifar_cnn,ef_topk,20570,120,5,0.05,1.626805993,1.59399574,1.603900699,0.4221,0.4221,0.222,1.910570079,57979200,58056000,58714304,587181440,116770304,645237440,1200,0,0,0.3464322041,120,0,0.999,0.025,0.005,0.2,0.05,0.01,1,1,0.375,0.463,0.26,0.222,0.311,0.461,0.59,0.469,0.596,0.474,cifar_ef_quality,cifar_cnn,qualification,ef_k05,3,extension,3800,83800
cifar_cnn,ef_topk,20570,120,5,0.05,1.61144636,1.57860282,1.595611981,0.4234,0.4234,0.228,1.908788737,57979200,58056000,58714304,587181440,116770304,645237440,1200,0,0,0.341539858,120,0,0.999,0.025,0.005,0.2,0.05,0.01,1,1,0.494,0.574,0.23,0.228,0.262,0.444,0.583,0.483,0.455,0.481,cifar_ef_quality,cifar_cnn,qualification,ef_k05,4,extension,3900,83900
cifar_cnn,ef_topk,20570,120,5,0.05,1.635562991,1.602770789,1.598707568,0.4231,0.4231,0.26,1.913821589,57979200,58056000,58714304,587181440,116770304,645237440,1200,0,0,0.3429156275,120,0,0.999,0.025,0.005,0.2,0.05,0.01,1,1,0.511,0.592,0.276,0.291,0.26,0.335,0.603,0.482,0.46,0.421,cifar_ef_quality,cifar_cnn,qualification,ef_k05,5,extension,4000,84000
cifar_cnn,ef_topk,20570,120,5,0.05,1.623043967,1.590178992,1.597196622,0.4233,0.4233,0.227,1.907622695,57979200,58056000,58714304,587181440,116770304,645237440,1200,0,0,0.3439649263,120,0,0.999,0.025,0.005,0.2,0.05,0.01,1,1,0.453,0.568,0.247,0.227,0.358,0.431,0.525,0.431,0.518,0.475,cifar_ef_quality,cifar_cnn,qualification,ef_k05,6,extension,4100,84100
cifar_cnn,ef_topk,20570,120,5,0.05,1.610705427,1.577812402,1.597710779,0.424,0.424,0.262,1.906076708,57979200,58056000,58714304,587181440,116770304,645237440,1200,0,0,0.3435366548,120,0,0.999,0.025,0.005,0.2,0.05,0.01,1,1,0.474,0.581,0.262,0.283,0.319,0.38,0.481,0.459,0.492,0.509,cifar_ef_quality,cifar_cnn,qualification,ef_k05,7,extension,4200,84200
cifar_cnn,ef_topk,20570,120,5,0.05,1.633313857,1.600456763,1.608454675,0.4244,0.4244,0.237,1.915949773,57979200,58056000,58714304,587181440,116770304,645237440,1200,0,0,0.3449245827,120,0,0.999,0.025,0.005,0.2,0.05,0.01,1,1,0.419,0.551,0.237,0.303,0.268,0.427,0.543,0.501,0.466,0.529,cifar_ef_quality,cifar_cnn,qualification,ef_k05,8,extension,4300,84300
cifar_cnn,ef_topk,20570,120,5,0.05,1.609568482,1.576773633,1.595884894,0.4253,0.4253,0.261,1.911788666,57979200,58056000,58714304,587181440,116770304,645237440,1200,0,0,0.3417200354,120,0,0.999,0.025,0.005,0.2,0.05,0.01,1,1,0.509,0.586,0.337,0.261,0.261,0.386,0.589,0.451,0.39,0.483,cifar_ef_quality,cifar_cnn,qualification,ef_k05,9,extension,4400,84400
cifar_cnn,event,20570,120,5,0.05,1.449801548,1.410356445,1.442953143,0.4766,0.4766,0.29,1.741153602,18077248,18154048,18812352,188161920,36966400,206315968,1200,1129828,941.5233333,0.3370621839,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.499,0.638,0.29,0.322,0.408,0.359,0.628,0.594,0.588,0.44,cifar_event,cifar_cnn,event,event_t025_q005,0,original,3500,83500
cifar_cnn,event,20570,120,5,0.05,1.451585772,1.411196631,1.414184583,0.4932,0.4932,0.25,1.754817235,17325136,17401936,18060240,180640800,35462176,198042736,1200,1082821,902.3508333,0.3336931922,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.594,0.565,0.25,0.419,0.466,0.435,0.553,0.561,0.473,0.616,cifar_event,cifar_cnn,event,event_t025_q005,1,original,3600,83600
cifar_cnn,event,20570,120,5,0.05,1.486688589,1.447021448,1.466136044,0.4719,0.4719,0.199,1.780826307,17510592,17587392,18245696,182495360,35833088,200082752,1200,1094412,912.01,0.3373732362,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.573,0.472,0.199,0.222,0.442,0.578,0.561,0.564,0.499,0.609,cifar_event,cifar_cnn,event,event_t025_q005,2,original,3700,83700
cifar_cnn,event,20570,120,5,0.05,1.453434064,1.413331995,1.451882156,0.4738,0.4738,0.217,1.738124417,17846880,17923680,18581984,185858240,36505664,203781920,1200,1115430,929.525,0.3375728472,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.393,0.492,0.261,0.217,0.328,0.575,0.715,0.528,0.652,0.577,cifar_event,cifar_cnn,event,event_t025_q005,3,extension,3800,83800
