architecture,method,dimension,rounds,local_steps,local_lr,final_train_objective,final_train_ce,final_test_ce,final_test_accuracy,final_macro_accuracy,final_worst_class_accuracy,whole_train_objective,uplink_payload_bits,uplink_packetized_bits,broadcast_downlink_bits,unicast_hybrid_downlink_bits,broadcast_total_bits,unicast_hybrid_total_bits,messages,coordinate_events,events_per_message,mean_delta_norm,replay_rounds,checkpoint_rounds,rho,threshold,jump0,jump_exponent,topk_fraction,strom_threshold,init_scale,server_gain,class_0_accuracy,class_1_accuracy,class_2_accuracy,class_3_accuracy,class_4_accuracy,class_5_accuracy,class_6_accuracy,class_7_accuracy,class_8_accuracy,class_9_accuracy,point_id,benchmark,role,configuration,seed_index,seed_subset,partition_seed,train_seed,comparison,source_campaign
cifar_cnn,ef_topk,20570,120,5,0.05,1.64389772,1.61101593,1.605763034,0.4249,0.4249,0.266,1.934645401,57979200,58056000,58714304,587181440,116770304,645237440,1200,0,0,0.3446045497,120,0,0.999,0.025,0.005,0.2,0.05,0.01,1,1,0.518,0.557,0.266,0.308,0.273,0.343,0.547,0.482,0.43,0.525,cifar_ef_quality,cifar_cnn,qualification,ef_k05,2,original,3700,83700,quality-selected,p12
cifar_cnn,ef_topk,20570,120,5,0.05,1.626805993,1.59399574,1.603900699,0.4221,0.4221,0.222,1.910570079,57979200,58056000,58714304,587181440,116770304,645237440,1200,0,0,0.3464322041,120,0,0.999,0.025,0.005,0.2,0.05,0.01,1,1,0.375,0.463,0.26,0.222,0.311,0.461,0.59,0.469,0.596,0.474,cifar_ef_quality,cifar_cnn,qualification,ef_k05,3,extension,3800,83800,quality-selected,p12
cifar_cnn,ef_topk,20570,120,5,0.05,1.61144636,1.57860282,1.595611981,0.4234,0.4234,0.228,1.908788737,57979200,58056000,58714304,587181440,116770304,645237440,1200,0,0,0.341539858,120,0,0.999,0.025,0.005,0.2,0.05,0.01,1,1,0.494,0.574,0.23,0.228,0.262,0.444,0.583,0.483,0.455,0.481,cifar_ef_quality,cifar_cnn,qualification,ef_k05,4,extension,3900,83900,quality-selected,p12
cifar_cnn,ef_topk,20570,120,5,0.05,1.635562991,1.602770789,1.598707568,0.4231,0.4231,0.26,1.913821589,57979200,58056000,58714304,587181440,116770304,645237440,1200,0,0,0.3429156275,120,0,0.999,0.025,0.005,0.2,0.05,0.01,1,1,0.511,0.592,0.276,0.291,0.26,0.335,0.603,0.482,0.46,0.421,cifar_ef_quality,cifar_cnn,qualification,ef_k05,5,extension,4000,84000,quality-selected,p12
cifar_cnn,ef_topk,20570,120,5,0.05,1.623043967,1.590178992,1.597196622,0.4233,0.4233,0.227,1.907622695,57979200,58056000,58714304,587181440,116770304,645237440,1200,0,0,0.3439649263,120,0,0.999,0.025,0.005,0.2,0.05,0.01,1,1,0.453,0.568,0.247,0.227,0.358,0.431,0.525,0.431,0.518,0.475,cifar_ef_quality,cifar_cnn,qualification,ef_k05,6,extension,4100,84100,quality-selected,p12
cifar_cnn,ef_topk,20570,120,5,0.05,1.610705427,1.577812402,1.597710779,0.424,0.424,0.262,1.906076708,57979200,58056000,58714304,587181440,116770304,645237440,1200,0,0,0.3435366548,120,0,0.999,0.025,0.005,0.2,0.05,0.01,1,1,0.474,0.581,0.262,0.283,0.319,0.38,0.481,0.459,0.492,0.509,cifar_ef_quality,cifar_cnn,qualification,ef_k05,7,extension,4200,84200,quality-selected,p12
cifar_cnn,ef_topk,20570,120,5,0.05,1.633313857,1.600456763,1.608454675,0.4244,0.4244,0.237,1.915949773,57979200,58056000,58714304,587181440,116770304,645237440,1200,0,0,0.3449245827,120,0,0.999,0.025,0.005,0.2,0.05,0.01,1,1,0.419,0.551,0.237,0.303,0.268,0.427,0.543,0.501,0.466,0.529,cifar_ef_quality,cifar_cnn,qualification,ef_k05,8,extension,4300,84300,quality-selected,p12
cifar_cnn,ef_topk,20570,120,5,0.05,1.609568482,1.576773633,1.595884894,0.4253,0.4253,0.261,1.911788666,57979200,58056000,58714304,587181440,116770304,645237440,1200,0,0,0.3417200354,120,0,0.999,0.025,0.005,0.2,0.05,0.01,1,1,0.509,0.586,0.337,0.261,0.261,0.386,0.589,0.451,0.39,0.483,cifar_ef_quality,cifar_cnn,qualification,ef_k05,9,extension,4400,84400,quality-selected,p12
cifar_cnn,event,20570,120,5,0.05,1.449801548,1.410356445,1.442953143,0.4766,0.4766,0.29,1.741153602,18077248,18154048,18812352,188161920,36966400,206315968,1200,1129828,941.5233333,0.3370621839,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.499,0.638,0.29,0.322,0.408,0.359,0.628,0.594,0.588,0.44,cifar_event,cifar_cnn,event,event_t025_q005,0,original,3500,83500,quality-selected,p12
cifar_cnn,event,20570,120,5,0.05,1.451585772,1.411196631,1.414184583,0.4932,0.4932,0.25,1.754817235,17325136,17401936,18060240,180640800,35462176,198042736,1200,1082821,902.3508333,0.3336931922,120,0,0.999,0.025,0.005,0.2,0.01,0.01,1,1,0.594,0.565,0.25,0.419,0.466,0.435,0.553,0.561,0.473,0.616,cifar_event,cifar_cnn,event,event_t025_q005,1,original,3600,83600,quality-selected,p12
