round,alignment_ratio,objective_change
1,0.45314643263070703,-0.0013590230147044666
5,53.72787576954204,-0.15547413965860987
10,61.09772689218162,-0.061054403940836666
15,56.74913464514977,-0.04226304448445647
20,63.87266704611793,-0.027982191753387366
25,61.91382680680522,-0.0198191394964853
30,49.62330405350334,-0.015264537509282432
35,46.47102894171743,-0.010368212350209599
40,48.12848959631898,-0.0093154118220011
45,29.15717185783338,-0.007408994277318199
50,42.081029199031555,-0.005589983399708967
55,41.384856660721994,-0.004046498672167467
60,36.48470221337089,-0.004191482591628967
65,28.232127347135712,-0.00035560355186459993
70,43.00577321288201,-0.0009775586366653334
75,38.625904273739756,0.0004529847383500333
80,37.83046486393902,-0.005362351981798733
85,27.832021786572398,-0.0011737125237782668
90,37.25046006683127,-0.0013897569179534333
95,53.60585190411219,0.0001937779347102
100,29.643066513029833,-0.004366175627708333
105,39.28661936334158,-0.004045566574732433
110,14.712395307013695,-0.0018094770352045334
115,26.379247890582363,0.0004048604091008666
120,48.1285698674555,-0.0012711035648981666
125,37.48493754611288,-0.0013273218949636
130,30.891697795395558,-0.00022274903456370002
135,25.799921934822393,0.0015362285137175667
140,21.75555388423877,-0.0009773796081542334
145,24.743761167276883,-0.0011034567832946666
150,22.970663752126057,-0.004282187000910366
