round,alignment_ratio,harmful_share,objective_change
1,0.4169855810287559,0.391774426071542,-0.0012654084205627
5,54.0372922353245,0.0715288333992518,-0.1738889122009279
10,57.18400533331409,0.2483243990681125,-0.0707807295799256
15,59.12493911024447,0.2734038205977186,-0.0419894512176513
20,58.74281017581905,0.2764735865137852,-0.0344226036071777
25,50.81187400915815,0.2878346501394825,-0.0183422109603881
30,32.64041613217891,0.3154993579632496,-0.023256758403778
35,30.94244962944548,0.348498435847814,-0.0167312293052673
40,59.47602961427428,0.3557439333357813,-0.0034795556068419
45,21.340500104476018,0.4111780868201835,-0.0016974334716797
50,22.75456720467354,0.3659365312091949,-0.0096539488792419
55,27.308339877308903,0.4065365818501116,-0.0011438906669616
60,26.93925029110098,0.3703409324083184,-0.010145531463623
65,18.00672456524117,0.3630624417915344,-0.0001803965568542
70,37.819122600897366,0.3330857481225676,-0.0079685704231261
75,25.08297821770109,0.4311413311641328,0.001410943698883
80,20.289302062634505,0.4171679969402455,0.0062418690681457
85,31.28494482767942,0.3237167362996389,-0.0122221911430359
90,66.7238391550667,0.2926980225552608,0.0124157969474791
95,46.5613857338692,0.2949635270447901,0.0004032794952392
100,25.07210903690501,0.2673284549299345,-0.0233574928760528
105,37.46861632377874,0.3574762104238614,-0.0065070520401001
110,35.70632803109859,0.3092922144147555,-0.01181412525177
115,-0.0387597720134249,0.5001169693423958,0.0100495215415954
120,25.33896736274216,0.3955326259225432,-0.0001496307849884
125,-1.5984453497594178,0.5061610944979723,0.0146326081752777
130,30.217252083408503,0.3490378931949092,-0.0051192509651184
135,16.363293442516024,0.4415436293293494,-0.0025284673690795
140,31.942197492062228,0.3496135228667048,-0.0075428652286529
145,11.087699878965893,0.4642608576352999,0.0063626504421234
150,33.570853993713115,0.4134873648243826,0.0059512555599212
