round,alignment_ratio,objective_change
1,0.4531463916352747,-0.0017429112434385666
5,53.41112868565983,-0.18953401441574083
10,56.156266030155166,-0.06333348525365197
15,55.96306636566228,-0.04184450731277473
20,52.53416672431921,-0.03082452437082923
25,49.2363642790684,-0.019776771291097034
30,39.554257348715055,-0.0175203301111856
35,52.08020494282903,-0.0073769808053969
40,42.10984684910252,-0.007900639311472434
45,25.626655923874676,0.0004247309207916999
50,51.931385653692224,-0.0022876773993174
55,36.16841755795837,-0.0089678073326746
60,46.564138499790545,-0.0027309368292490334
65,25.822540483036875,-0.007526779262224666
70,37.8076218138964,-0.004399560221036334
75,28.337338449085035,-0.0046468127250672
80,42.4171169435534,0.002368171620369033
85,22.411408137973222,0.0017517377138137333
90,33.007623647128106,0.005725804678599067
95,27.757713802132113,-0.0008966165224711333
100,27.935028872714792,-0.0053989706039428995
105,34.51431204387074,-0.0059520345767338665
110,27.469643921533137,-0.002934805878003434
115,29.702170158162122,0.0018023161093394333
120,24.718234546891836,-0.004093573896090166
125,37.22485337150107,7.986841996513328e-05
130,28.966763462940097,-0.0013698608239491334
135,21.494391348941118,-0.00044611811637876655
140,28.135250570030156,-0.0052271060069401
145,24.201752399596984,0.0024699566523233665
150,35.00239510967051,-0.0019482910553614667
