round,alignment_ratio,objective_change
1,0.4531464823533366,-0.0013656619548794333
5,53.6701013614825,-0.1576739185015359
10,61.02909797401,-0.062321760368347266
15,57.05145980612002,-0.04293901076316803
20,64.06794475106183,-0.029149762757619335
25,53.087519855351786,-0.019302464914321832
30,43.81865631877503,-0.016782889652252234
35,51.539314446799686,-0.008586736472447733
40,54.07537288109393,-0.009461510999997433
45,24.771858182439715,-0.0074558078130086336
50,34.767805224427555,-0.0035245893160502
55,34.829579311242945,-0.005856526740392033
60,43.95166715865506,-0.004197735722859666
65,29.492027196386346,-0.004677563667297367
70,45.001136815503706,-0.002956354395548467
75,37.94562543243083,0.002547210446993533
80,21.901183902152283,0.0056978302558262665
85,15.188821614623043,-0.00017100764910379986
90,36.20177820024097,0.0020126822948455005
95,35.04966307798113,0.0036460658152897003
100,25.817320662873012,-0.0099564623117447
105,29.894876847591814,-0.0043234562397003
110,34.75072372913371,-0.0070089654843012335
115,14.85218576848474,0.006109017992019632
120,37.79620460302383,0.0006319209814071883
125,21.333145901217005,0.0017492173274358334
130,27.74069964304643,-0.0051755934794744
135,24.36233879448567,-0.004180945785840266
140,25.224598491403906,-0.0090138890345891
145,26.833513925025983,0.0014304840008417669
150,34.47504285490847,-0.0017572501579919669
