round,alignment_ratio,harmful_share,objective_change
1,0.4872640981734251,0.3697413629205059,-0.0015183987617493
5,52.8257316881076,0.0753199079767053,-0.1441909884929657
10,58.80970642237758,0.2627303420135876,-0.0637946725845335
15,52.59865633942091,0.2741757004748721,-0.0430585494995117
20,78.6625752073438,0.2439570331425291,-0.033454474067688
25,70.59857515423369,0.2643849383895288,-0.0190877535820006
30,57.0176735685292,0.3006643772744178,-0.0126594056129455
35,57.01835979133517,0.3302689405086327,0.001603282737732
40,38.04153910247388,0.3456383965205935,-0.0139472318649291
45,23.881155755273312,0.3675673124378076,-0.0169891960144042
50,38.110123242797904,0.3497353503353668,-0.0058022414207459
55,31.63951877379905,0.3751438123998317,-0.0023950900077819
60,80.01962723308631,0.3018576024883534,0.0075606035232543
65,40.12268967254992,0.3598469894927087,0.0034788979530333
70,39.33014519826392,0.3325117514653036,-0.0033438331604004
75,40.03101625110547,0.4012466621956471,-0.001640286540985
80,20.39891945030956,0.4244983731486043,-0.0065488602638243
85,3.7960816978326815,0.4827586037284986,0.0041784473896026
90,17.70424213550958,0.3635457766905505,-0.0119606217861175
95,21.91446437870129,0.4311188215680379,0.0117954858303069
100,20.330364036561694,0.4035469647099931,-0.0003601481437682
105,15.970030679818706,0.3827270651969575,-0.0111643587589264
110,8.25479142109398,0.4511928425678656,-0.0034970631122588
115,10.567769455231543,0.4393182545230067,0.0141920261859894
120,23.483190205113328,0.3974176007753299,-0.0036322607040405
125,29.22698798863825,0.3714966729091186,0.002314488363266
130,18.43953104657232,0.3993267312919411,-0.0035636102199554
135,33.971343778102344,0.3601116750832928,-0.0067818967342376
140,27.030737170963917,0.3325517858280536,-0.0108151366233825
145,14.451438748931876,0.4391538461553905,0.0036927754878998
150,30.22948645227203,0.3688149814494795,-0.0087061262130737
