round,alignment_ratio,harmful_share,objective_change
1,0.4233952004460873,0.3917368592409104,-0.0013199736595153
5,53.52062689496169,0.0710976458642885,-0.164406619310379
10,62.92113577359447,0.2411053887282777,-0.0551625917434692
15,52.035994109806175,0.2858715413714993,-0.0455940127372742
20,49.31095838557463,0.3268282931795668,-0.0204917076110839
25,34.575606168604324,0.3447546636911055,-0.0179372648239136
30,38.64115296511903,0.2979285147072796,-0.0152990372657775
35,69.08620901109941,0.2327458900142752,-0.0060138150215148
40,43.987146944262925,0.3671016921803351,-0.0080636219024659
45,36.65531546453759,0.3437610218020837,-0.0077183806419373
50,48.02285247851199,0.3063105042522303,-0.0029768420219421
55,27.997672460339977,0.32452439288505,-0.0144994562149048
60,30.36449541951596,0.3755507829281553,-0.0042822834968567
65,21.700776999966237,0.3614953613207877,-0.018495221710205
70,54.79619514821573,0.2869970332856436,0.0044505570411682
75,37.67547768979063,0.3537741851658343,-0.0008824787139892
80,8.840856217599898,0.4653349314213206,0.0148889909744263
85,-0.8752522507947439,0.5037045074717894,0.006484561252594
90,22.786152248447564,0.4361571630847756,0.0014813553810119
95,20.37446564664232,0.3953834001330837,0.0052452370643615
100,27.654055400743207,0.3391191344269663,-0.0062258185386657
105,42.57158053130759,0.3654998879480232,-0.001726014137268
110,42.601612757757856,0.3491239535561696,-0.0038272941112518
115,37.748135073345416,0.4017777001125522,0.001426638174057
120,36.57693138800157,0.3023791279255173,-0.0020824599266052
125,25.74793962668267,0.3796948434951897,-9.13520336151552e-05
130,16.17011916464055,0.4233418983444024,0.0004408846378326
135,24.44019296836287,0.3810835845251599,-0.0080777603626251
140,29.589010029364317,0.3595687708514618,-0.0093944294452666
145,23.373778123666344,0.3803030076704949,-0.0023929239273071
150,8.58539976157728,0.4502116589753699,-0.0023470879554748
