test_ce,test_accuracy,worst_class_accuracy,total_events,total_messages,total_completions,event_share_cv,mass_share_cv,events_per_completion_cv,output_event_share_cv,scenario,regime,compute,assignment,seed,rho_output_share_accuracy,rho_dom_client_share_accuracy
0.5776723623275757,0.7913,0.243,515714,2155,2160,0.0253467742755602,0.025307613093123,0.0253467742755602,0.2690998634158033,iid_equal_identity,iid,equal,identity,2400,-0.7818181818181817,
0.6721379160881042,0.7391,0.3,658975,2385,2404,0.4408414817087479,0.4390227102820063,1.1874296084014049,0.1791113630237413,iid_heterogeneous_identity,iid,heterogeneous,identity,2400,-0.7575757575757575,
0.645831823348999,0.7733,0.209,2411733,2160,2160,0.2106927258478863,0.2094090282274457,0.2106927258478863,0.2563439501361796,strong_equal_identity,strong,equal,identity,2400,-0.7454545454545454,-0.4666666666666666
0.6321971416473389,0.7769,0.302,2166208,2404,2404,0.2562103670493145,0.2566960075540518,0.7566328493300611,0.3127856838922967,strong_heterogeneous_identity,strong,heterogeneous,identity,2400,-0.5878787878787878,-0.5272727272727272
0.652052640914917,0.7719,0.537,2042055,2404,2404,0.1994851011210142,0.1982083189629371,0.79035607607237,0.2760365193988086,strong_heterogeneous_reverse,strong,heterogeneous,reverse,2400,-0.2848484848484848,-0.2242424242424242
0.6686002016067505,0.7524,0.264,1928209,2404,2404,0.1195400424637909,0.1181592354861294,0.918393041133358,0.1844169326447462,strong_heterogeneous_mixed,strong,heterogeneous,mixed,2400,-0.2978737164032316,0.0790277206784084
0.5896928906440735,0.7991,0.362,2356817,2160,2160,0.1992839741387111,0.1985025074969209,0.1992839741387111,0.2587928209968819,strong_equal_seed2500,strong,equal,identity,2500,-0.8510677611520905,-0.085106776115209
0.7490935325622559,0.7303,0.239,2084354,2404,2404,0.2480901456351945,0.248319111125741,0.7710454099653744,0.3010286327165828,strong_heterogeneous_seed2500,strong,heterogeneous,identity,2500,-0.3333333333333332,-0.3818181818181818
