partition_seed,method,payload_bits,test_bce,accuracy,final_train_objective,whole_train_objective
1400,events,7275888,0.390062,0.8245,0.366257,0.496301
1400,ef_0p5pct,10010624,0.424500,0.8060,0.403702,0.511514
1400,ef_2p5pct,50209536,0.403555,0.8160,0.381671,0.471785
1400,full,1366609920,0.381059,0.8275,0.359190,0.468161
1500,events,7661392,0.398284,0.8065,0.381592,0.482030
1500,ef_0p5pct,10010624,0.431905,0.7990,0.409450,0.499087
1500,ef_2p5pct,50209536,0.396195,0.8125,0.375739,0.454046
1500,full,1366609920,0.407937,0.8100,0.391679,0.484343
