point_id,benchmark,comparison,method,config_name,n_seeds,partition_seeds,training_seeds,source_artifact,final_train_ce_mean,final_train_ce_std,final_test_ce_mean,final_test_ce_std,final_test_accuracy_mean,final_test_accuracy_std,final_worst_class_accuracy_mean,final_worst_class_accuracy_std,coordinate_events_mean,coordinate_events_std,unicast_hybrid_total_bits_mean,unicast_hybrid_total_bits_std
resnet14_event,cifar_resnet14,quality-selected,event,event_t0125_q005,10,4200;4300;4400;4500;4600;4700;4800;4900;5000;5100,94200;94300;94400;94500;94600;94700;94800;94900;95000;95100,experiments/results/p13_cifar10_resnet14/heldout_summary.csv,0.41776153625488283,0.020314594992473758,0.73150072586059567,0.013298407074094016,0.75137999999999994,0.0045791314072042549,0.55199999809265132,0.036003078772035714,100318376.8,932807.62782232394,21035871951.200001,194956794.21486568
resnet14_dense,cifar_resnet14,quality-selected,dense,dense_g15,10,4200;4300;4400;4500;4600;4700;4800;4900;5000;5100,94200;94300;94400;94500;94600;94700;94800;94900;95000;95100,experiments/results/p13_cifar10_resnet14/heldout_summary.csv,0.75579042663574214,0.013257380831476977,0.86980797470092774,0.016202225649901317,0.69474000000000002,0.0061932221016204533,0.47610000669956209,0.051911149864473038,0,0,201956179200,0
resnet14_ef_topk,cifar_resnet14,quality-selected,ef_topk,ef_k025,10,4200;4300;4400;4500;4600;4700;4800;4900;5000;5100,94200;94300;94400;94500;94600;94700;94800;94900;95000;95100,experiments/results/p13_cifar10_resnet14/heldout_summary.csv,0.89804026794433589,0.013759297540952873,0.96131827651977542,0.0041337224983325552,0.66125,0.0020342893927200695,0.42600000202655791,0.029009576509777122,0,0,43441231200,0
resnet14_sign_ef,cifar_resnet14,quality-selected,sign_ef,sign_ef,10,4200;4300;4400;4500;4600;4700;4800;4900;5000;5100,94200;94300;94400;94500;94600;94700;94800;94900;95000;95100,experiments/results/p13_cifar10_resnet14/heldout_summary.csv,0.93033552856445312,0.011341259384379555,0.99304632202148435,0.0041228253685017665,0.64915,0.0032311848532010218,0.40110000371932986,0.048580864691026286,0,0,34776751200,0
resnet14_strom,cifar_resnet14,quality-selected,strom,strom_t01,10,4200;4300;4400;4500;4600;4700;4800;4900;5000;5100,94200;94300;94400;94500;94600;94700;94800;94900;95000;95100,experiments/results/p13_cifar10_resnet14/heldout_summary.csv,1.6813383758544922,0.20802624520538873,1.7101670739746093,0.19739826430521751,0.42268,0.066728168298286469,0.053900000639259815,0.062978745822915336,42370429.100000001,2204411.6894998662,8924750881.8999996,460722043.10547209
