metric,mean,std,n_partitions,snapshots_per_partition,total_snapshots,source_run
weighted_alignment_ratio,35.42101218510397,1.3461673919806922,3,31,93,https://github.com/j-cap/2026_NeuromorphicFL/actions/runs/33807650381
objective_decrease_fraction,0.7526881720430109,0.07449680892769364,3,31,93,https://github.com/j-cap/2026_NeuromorphicFL/actions/runs/33807650381
