regime,local_steps,n_seeds,partition_seeds,snapshots_per_seed,weighted_alignment_ratio_mean,weighted_alignment_ratio_std,positive_alignment_fraction_mean,positive_alignment_fraction_std,objective_decrease_fraction_mean,objective_decrease_fraction_std,positive_without_descent_fraction_mean,positive_without_descent_fraction_std,harmful_mass_share_mean,harmful_mass_share_std,ideal_local_ratio_mean,ideal_local_ratio_std,local_drift_ratio_mean,local_drift_ratio_std,heterogeneity_ratio_mean,heterogeneity_ratio_std,mean_curvature_remainder_mean,mean_curvature_remainder_std,mean_coordinate_events_per_audit_mean,mean_coordinate_events_per_audit_std,mean_cancellation_fraction_mean,mean_cancellation_fraction_std,final_test_accuracy_mean,final_test_accuracy_std,unicast_hybrid_total_bits_mean,unicast_hybrid_total_bits_std
iid,1,3,2500;2600;2700,31,10.11625462439474,0.023539427657504927,0.956989247311828,0.018624202231923397,0.956989247311828,0.018624202231923397,0,0,0.023296145009930401,0.0020879937388905436,32.129619108047379,0.55154093168278684,-21.743287741194834,0.49043152117886935,-0.27007674245780661,0.054513811590138878,0.00039178092987343335,1.0491476827961481e-05,420.60215053763437,15.992497373803978,0.0026561261430834999,0.0033232465173257063,0.71523333333333339,0.0040278199231511685,20761872,234877.58854347939
iid,5,3,2500;2600;2700,31,45.778595621199194,1.2813804150578012,1,0,0.967741935483871,0.032258064516129004,0.032258064516128997,0.032258064516128997,0.072647689938560425,0.0030244466344346928,108.95078406100512,0.83560934993831892,-57.802198229694504,0.73329655503421476,-5.3699902101114132,0.15587122531769262,0.0070800870527122335,0.00077100989647836194,1717.8602150537636,33.403445168877255,0.021127043690772934,0.0076534438433600617,0.83166666666666667,0.00056862407030773185,54216186.666666664,463249.66430353012
strong,1,3,2500;2600;2700,31,20.258877618802217,1.5069464110504649,0.978494623655914,0.018624202231923397,0.86021505376344076,0.049275007472643406,0.11827956989247307,0.049275007472643448,0.29944914041289661,0.0066970781650354137,476.47562992973809,43.651490274443468,-95.234537766559512,11.645869768901671,-360.98221454437646,31.097245289594785,0.0099820265826104336,0.0012897636906009521,3393.483870967742,68.402318756298868,0.1128779879914535,0.0041521914831283207,0.7258,0.012079735096433215,99768682.666666672,2907704.1407387606
strong,5,3,2500;2600;2700,31,35.758321396682419,0.76011765867000547,0.989247311827957,0.018624202231923397,0.67741935483870963,0.064516129032258063,0.31182795698924731,0.049275007472643483,0.31016063032262109,0.0044633318355237405,325.02146081894887,16.402880138676309,411.35632975833278,22.623521224532162,-700.61946918059914,38.076817557717817,0.016559344841210532,0.00047379361555559377,6496.2580645161288,26.388457256512329,0.15503401408473394,0.0020423101271566106,0.83216666666666672,0.00077674534651537934,183565333.33333334,1919044.8939296165
